complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,H7683_10035(2) AND H7683_10040(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,H7683_23690(2) AND H7683_23695(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,H7683_13890(2) AND H7683_20115(2) AND H7683_01340(2) AND H7683_13885(2),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,H7683_04290(2) AND H7683_04295(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,H7683_18330() AND H7683_23095(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),H7683_18330() AND H7683_18315(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,H7683_14865(4) AND H7683_14860(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,H7683_10405() AND H7683_10410(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),H7683_06105() AND H7683_13820(),,
CPLX_ANS-0,Anthranilate synthase,H7683_06485() AND H7683_06480(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),H7683_18660(1) AND H7683_18655(1) AND H7683_18665(1) AND H7683_18670(2),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),H7683_07125() AND H7683_07130() AND H7683_07140() AND H7683_07135(),,
CPLX_AST-0,Arginine succinyltransferase,H7683_18690() AND H7683_18685(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,H7683_14835() AND H7683_13450(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),H7683_09725() AND H7683_09745() AND H7683_09710() AND H7683_09715() AND H7683_09740() AND H7683_09735() AND H7683_09720() AND H7683_09730() AND H7683_09750(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,H7683_15865(2) AND H7683_15870(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),H7683_08145(2) AND H7683_08140(2) AND H7683_08155(),,
CPLX_CHOLSabc-0,Choline sulfate ABC transporter,H7683_10235() AND H7683_10240(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,H7683_05120() AND H7683_05125() AND H7683_05130(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,H7683_14800() AND H7683_14805() AND H7683_14810(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),H7683_08355() AND H7683_08340() AND H7683_08345() AND H7683_08350(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,H7683_14925() AND H7683_14930() AND H7683_14935(),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),H7683_11835() AND H7683_11840() AND H7683_03200(),,
CPLX_FLDR2-0,Flavodoxin reductase (NADPH),H7683_16520() AND H7683_02780(),,
CPLX_GALURt2rpp-0,"D-galacturonate transport via proton symport, reversible (periplasm)",H7683_01780() AND H7683_08020() AND H7683_08025(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),H7683_01670() AND H7683_01665() AND H7683_01660() AND H7683_01655(),,
CPLX_GLUSx-0,Glutamate synthase  NADH2,H7683_12825(4) AND H7683_12820(4),,
CPLX_HSERTA-0,Homoserine O trans acetylase,H7683_07335() AND H7683_07340(),,
CPLX_HXAND-0,Hypoxanthine dehydrogenase,H7683_19700() AND H7683_19705() AND H7683_19695(),,
CPLX_IG3PS-0,Imidazole-glycerol-3-phosphate synthase,H7683_07880(1) AND H7683_07895(1),,
CPLX_ILEabcpp-0,L-isoleucine transport via ABC system (periplasm),H7683_17095(1) AND H7683_17085(1) AND H7683_17090(1) AND H7683_17075(1) AND H7683_17080(1),,
CPLX_IPPMIa-0,3-isopropylmalate dehydratase,H7683_20080(1) AND H7683_20075(1),,
CPLX_KAS13-0,B-ketoacyl synthetase (octadecanoate),H7683_18320() AND H7683_18335() AND H7683_18325() AND H7683_01365(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),H7683_07975() AND H7683_07970() AND H7683_07965() AND H7683_07960(),,
CPLX_MCOATA-0,Malonyl-CoA-ACP transacylase,H7683_11035() AND H7683_18330(),,
CPLX_MCOATA-1,Malonyl-CoA-ACP transacylase,H7683_18330() AND H7683_18320(),,
CPLX_METSOXR1-0,L-methionine-S-oxide reductase,H7683_13105() AND H7683_11735(),,
CPLX_METSOXR1-1,L-methionine-S-oxide reductase,H7683_24045() AND H7683_11735(),,
CPLX_METSOXR1-2,L-methionine-S-oxide reductase,H7683_13105() AND H7683_05980(),,
CPLX_METSOXR1-3,L-methionine-S-oxide reductase,H7683_24045() AND H7683_05980(),,
