reaction	keff
CD2tpp	65
CDGR	65
CDGS	65
CDGUNPD	65
CDPMEK	65
CELBpts	65
CFAS160E	65
CFAS160G	65
CFAS180E	65
CFAS180G	65
CGLYabcpp	65
CHLabcpp	65
CHLt2pp	65
CHLt3pp	65
CHOLD	65
CHOLID	65
CHORM	65
CHORS	65
CHRPL	65
CHTBSptspp	65
CINNDO	65
CITt7pp	65
CITtex	65
CLIPAabctex	65
CLPNS120pp	65
CLPNS140pp	65
CLPNS141pp	65
CLPNS160pp	65
CLPNS180pp	65
CLPNS181pp	65
CLt3_2pp	65
CLtipp	65
CMPtex	65
CMtpp	65
COBALT2abcpp	65
COBALT2t3pp	65
COBALT2tpp	65
COLIPAPabctex	65
COLIPAabcpp	65
COLIPAabctex	65
CPGNabcpp	65
CPGNtonex	65
CPH4S	65
CPL	65
CPMPS	65
CPPPGO	65
CPPPGO2	65
CRNCAL2	65
CRNCAR	65
CRNCDH	65
CRNDCAL2	65
CRNDt2rpp	65
CRNabcpp	65
CRNt2rpp	65
CRNt7pp	65
CRNt8pp	65
CS	65
CSND	65
CTBTCAL2	65
CTBTabcpp	65
CTBTt2rpp	65
CTECOAI6	65
CTECOAI7	65
CTECOAI8	65
CTPS2	65
CU1abcpp	65
CU2abcpp	65
CU2tpp	65
CURR	65
CUt2pp	65
CUt3	65
CYANST	65
CYANSTpp	65
CYNTAH	65
CYNTt2pp	65
CYSDDS	65
CYSDS	65
CYSItpp	65
CYSS	65
CYSTA	65
CYSTL	65
CYSabc2pp	65
CYSabcpp	65
CYStpp	65
CYTBDpp	65
CYTBO3_4pp	65
CYTDK2	65
CYTK1	65
CYTK2	65
DAAD	65
DADA	65
DADK	65
DAGK120	65
DAGK140	65
DAGK141	65
DAGK160	65
DAGK161	65
DAGK180	65
DAGK181	65
DALAt2pp	65
DAPDC	65
DAPE	65
DASYN120	65
DASYN140	65
DASYN141	65
DASYN160	65
DASYN161	65
DASYN180	65
DASYN181	65
DB4PS	65
DBTS	65
DC6PDA	65
DCTPD	65
DDCAtexi	65
DDGALK	65
DDGLCNt2rpp	65
DDGLK	65
DDPA	65
DDPGALA	65
DGK1	65
DGUNC	65
DHACOAH	65
DHAD1	65
DHAD2	65
DHAPT	65
DHBSZ3FEabcpp	65
DHCIND	65
DHCURR	65
DHDPRy	65
DHDPS	65
DHFR	65
DHFS	65
DHGLYH	65
DHNCOAS	65
DHNCOAT	65
DHNPA2r	65
DHNPTE	65
DHORD2	65
DHORTS	65
DHPPD	65
DHPPDA2	65
DHPS2	65
DHQS	65
DHQTi	65
DINSt2pp	65
DKGLCNR1	65
DKGLCNR2x	65
DKGLCNR2y	65
DMATT	65
DMPPS	65
DMQMT	65
DMSOR2	65
DMSOR2pp	65
DNTPPA	65
DOXRBCNtpp	65
DPCOAK	65
DPR	65
DSBAO1	65
DSBCGT	65
DSBDR	65
DSBGGT	65
DSERDHr	65
DSERt2pp	65
DTARTD	65
DTMPK	65
DURADx	65
DURIK1	65
DURIt2pp	65
DUTPDP	65
DXPRIi	65
DXPS	65
DXYLK	65
DXYLTD	65
E4PD	65
E4PP	65
EAR100x	65
EAR100y	65
EAR120x	65
EAR120y	65
EAR121x	65
EAR121y	65
EAR140x	65
EAR140y	65
EAR141x	65
EAR141y	65
EAR160x	65
EAR160y	65
EAR161x	65
EAR161y	65
EAR180x	65
EAR180y	65
EAR181x	65
EAR181y	65
EAR40x	65
EAR40y	65
EAR60x	65
EAR60y	65
EAR80x	65
EAR80y	65
ECA4COLIPAabctex	65
ECAtpp	65
ECOAH1	65
ECOAH2	65
ECOAH3	65
ECOAH5	65
ECOAH7	65
ECOAH8	65
EDA	65
EDD	65
EDTXS1	65
EDTXS2	65
EDTXS3	65
EDTXS4	65
EGMEACPR	65
ENLIPAabctex	65
ENO	65
EPMEACPR	65
ETHSO3abcpp	65
F1PP	65
F6PA	65
F6PP	65
FACOAE100	65
FACOAE180	65
FACOAL100t2pp	65
FACOAL120t2pp	65
FACOAL141t2pp	65
FACOAL160t2pp	65
FACOAL161t2pp	65
FACOAL180t2pp	65
FACOAL181t2pp	65
FACOAL60t2pp	65
FACOAL80t2pp	65
FADRx	65
FADRx2	65
FALDH2	65
FBA	65
FBA3	65
FBP	65
FCLPA	65
FCLT	65
FDH4pp	65
FDMO	65
FDMO2	65
FDMO3	65
FDMO4	65
FDMO6	65
FE2t2pp	65
FE2t3pp	65
FE2tex	65
FE2tpp	65
FE3DCITR5	65
FE3DCITabcpp	65
FE3DCITtonex	65
FE3DHBZS3R	65
FE3DHBZStonex	65
FE3HOXabcpp	65
FE3HOXtonex	65
FE3Ri	65
FECRMabcpp	65
FECRMtonex	65
FEENTERR4	65
FEENTERabcpp	65
FEENTERtex	65
FEENTERtonex	65
FEENTERtpp	65
FEOXAMtonex	65
FEROpp	65
FHL	65
FLDR2	65
FLVR	65
FLVRx	65
FMNAT	65
FMNRx	65
FMNRx2	65
FOMETRi	65
FORA	65
FORCT	65
FORt2pp	65
FRD3	65
FRULYSt2pp	65
FRUURt2rpp	65
FRUpts2pp	65
FRUptspp	65
FTHFD	65
FUM	65
FUMAC	65
FUMt1pp	65
FUMt2_2pp	65
FUSAtpp	65
Ftpp	65
G1PACT	65
G1PTT	65
G1SAT	65
G2PP	65
G2PPpp	65
G3PAT120	65
G3PAT140	65
G3PAT141	65
G3PAT160	65
G3PAT161	65
G3PAT180	65
G3PAT181	65
G3PCabcpp	65
G3PD2	65
G3PD5	65
G3PD7	65
G3PEabcpp	65
G3PGabcpp	65
G3PIabcpp	65
G3PSabcpp	65
G3PT	65
G5SD	65
G6PDH2r	65
G6PP	65
GALCTD	65
GALCTLO	65
GALCTND	65
GALCTNLt2pp	65
GALCTNLtex	65
GALCTNt2pp	65
GALCTNtex	65
GALCTt2rpp	65
GALURt2rpp	65
GALUi	65
GALabcpp	65
GAMptspp	65
GAPD	65
GAPP	65
GARFT	65
GART	65
GBBTNtex	65
GCALDD	65
GDMANE	65
GDPDPK	65
GDPMNH	65
GDPTPDP	65
GF6PTA	65
GGGABADr	65
GGPTRCO	65
GGPTRCS	65
GHBDHx	65
GHMT2r	65
GK1	65
GLBRAN2	65
GLCATr	65
GLCDpp	65
GLCNt2rpp	65
GLCRAL	65
GLCRt2rpp	65
GLCS1	65
GLCTR1	65
GLCTR3	65
GLCURt2rpp	65
GLCabcpp	65
GLCptspp	65
GLDBRAN2	65
GLNS	65
GLNabcpp	65
GLTPD	65
GLU5K	65
GLUABUTt7pp	65
GLUCYS	65
GLUDC	65
GLUDy	65
GLUN	65
GLUNpp	65
GLUPRT	65
GLUR	65
GLUSy	65
GLUTRR	65
GLUTRS	65
GLUabcpp	65
GLUt2rpp	65
GLUt4pp	65
GLXCL	65
GLYALDtpp	65
GLYAT	65
GLYBabcpp	65
GLYBt2pp	65
GLYBt3pp	65
GLYC2Pabcpp	65
GLYC3Pabcpp	65
GLYCAt2rpp	65
GLYCDx	65
GLYCK	65
GLYCK2	65
GLYCL	65
GLYCLTDx	65
GLYCLTDy	65
GLYCLTt4pp	65
GLYCTO2	65
GLYCTO4	65
GLYK	65
GLYOX	65
GLYt2pp	65
GLYtpp	65
GMAND	65
GMHEPAT	65
GMHEPK	65
GMHEPPA	65
GMPR	65
GMPS	65
GMPS2	65
GNP	65
GOFUCR	65
GP4GH	65
GPDDA1	65
GPDDA1pp	65
GPDDA2	65
GPDDA2pp	65
GPDDA3	65
GPDDA3pp	65
GPDDA4	65
GPDDA4pp	65
GPDDA5	65
GRTT	65
GRXR	65
GSNt3pp	65
GSPMDA	65
GSPMDS	65
GTHOr	65
GTHPi	65
GTHRDHpp	65
GTHRDabc2pp	65
GTHRDabcpp	65
GTHS	65
GTPCI	65
GTPCII2	65
GTPDPDP	65
GTPDPK	65
GTPHs	65
GUACYC	65
GUAD	65
GUAPRT	65
GUAt2pp	65
GUAtpp	65
H2Otpp	65
HACD1	65
HACD2	65
HACD3	65
HACD4	65
HACD5	65
HACD6	65
HACD7	65
HACD8	65
HADPCOADH3	65
HBZOPT	65
HCINNMt2rpp	65
HCO3E	65
HCYSMT	65
HDCAtexi	65
HDCEAtexi	65
HEMEOS	65
HEPT1	65
HEPT2	65
HEPT3	65
HEPT4	65
HETZK	65
HEXt2rpp	65
HG2abcpp	65
HG2t3pp	65
HGNTOR	65
HISDr	65
HISTD	65
HISTP	65
HISabcpp	65
HISt2rpp	65
HIStex	65
HKNDDH	65
HMBS	65
HMGL	65
HMPK1	65
HOMt2pp	65
HPACOAT	65
HPPK2	65
HPPPNt2rpp	65
HPYRI	65
HPYRP	65
HPYRRx	65
HPYRRy	65
HSDy	65
HSK	65
HSTPT	65
HXAND	65
HXCT	65
HYD1pp	65
HYD3pp	65
HYPOE	65
HYXNtpp	65
I2FE2SR	65
I2FE2SS	65
I2FE2SS2	65
I2FE2ST	65
I4FE4SR	65
I4FE4ST	65
ICDHyr	65
ICHORS_copy1	65
ICHORT	65
ICL	65
ICYSDS	65
IDOND	65
IDOND2	65
IDONt2rpp	65
IG3PS	65
IGPDH	65
IGPS	65
ILETA	65
ILEabcpp	65
IMPC	65
IMPD	65
INDOLEt2pp	65
INSTtex	65
INSt2pp	65
INSt3pp	65
INStex	65
IPDPS	65
IPMD	65
IPPMIa	65
IPPMIb	65
IPPS	65
ISETACabcpp	65
K2L4Aabcpp	65
K2L4Aabctex	65
KARA1	65
KARA2	65
KAS14	65
KAS15	65
KDOCT2	65
KDOPP	65
KDOPS	65
Kabcpp	65
Kt2pp	65
Kt3pp	65
LADGMDH	65
LALDO2x	65
LCADi	65
LCARS	65
LCARSyi	65
LDGUNPD	65
LDH_D	65
LDH_D2	65
LEUTAi	65
LEUabcpp	65
LEUt3pp	65
LGTHL	65
LIPACabcpp	65
LIPAHT2ex	65
LIPAHTex	65
LIPATPT	65
LIPAabcpp	65
LIPAabctex	65
LIPOCT	65
LIPOS	65
LKDRA	65
LPADSS	65
LPLIPAL1A120pp	65
LPLIPAL1A140pp	65
LPLIPAL1A141pp	65
LPLIPAL1A160pp	65
LPLIPAL1A161pp	65
LPLIPAL1A180pp	65
LPLIPAL1A181pp	65
LPLIPAL1E120pp	65
LPLIPAL1E140pp	65
LPLIPAL1E141pp	65
LPLIPAL1E160pp	65
LPLIPAL1E161pp	65
LPLIPAL1E180pp	65
LPLIPAL1E181pp	65
LPLIPAL1G120pp	65
LPLIPAL1G140pp	65
LPLIPAL1G141pp	65
LPLIPAL1G160pp	65
LPLIPAL1G161pp	65
LPLIPAL1G180pp	65
LPLIPAL1G181pp	65
LPLIPAL2A120	65
LPLIPAL2A140	65
LPLIPAL2A141	65
LPLIPAL2A160	65
LPLIPAL2A161	65
LPLIPAL2A180	65
LPLIPAL2E160	65
LPLIPAL2E180	65
LSERDHr	65
LYSAM	65
LYSDC	65
LYSabcpp	65
LYSt2pp	65
LYSt3pp	65
L_LACD2	65
MACACI	65
MACPD	65
MALCOAMT	65
MALDDH	65
MALDt2_2pp	65
MALS	65
MALTATr	65
MALTHXabcpp	65
MALTTRabcpp	65
MALTTTRabcpp	65
MALTabcpp	65
MALTptspp	65
MALt2_2pp	65
MALt2_3pp	65
MAN1PT2	65
MAN6PI	65
MANAO	65
MANGLYCptspp	65
MANPGH	65
MANptspp	65
MBCOAi	65
MCCC	65
MCITD	65
MCITL2	65
MCITS	65
MCOATA	65
MCPST	65
MCTP1App	65
MCTP2App	65
MDDCP1pp	65
MDDCP2pp	65
MDDCP3pp	65
MDDCP4pp	65
MDDCP5pp	65
MDDEP1pp	65
MDDEP2pp	65
MDDEP3pp	65
MDDEP4pp	65
MDH	65
MDH2	65
ME1	65
ME2	65
MECDPDH5	65
MECDPS	65
MEPCT	65
MEPNabcpp	65
METAT	65
METDabcpp	65
METDtex	65
METNA	65
METOX1s	65
METOX2s	65
METS	65
METSOXR1	65
METSOXR2	65
METabcpp	65
METt3pp	65
MG2tex	65
MG2tpp	65
MG2uabcpp	65
MGCH	65
MGSA	65
MI1PP	65
MICITDr	65
MINCYCtpp	65
MLDCP1App	65
MLDCP1Bpp	65
MLDCP2App	65
MLDCP2Bpp	65
MLDCP3App	65
MLDEP1pp	65
MLTG1	65
MLTG3	65
MLTG4	65
MLTG5	65
MLTGY1pp	65
MLTGY2pp	65
MLTGY3pp	65
MLTGY4pp	65
MMCD	65
MMETt2pp	65
MN2t3pp	65
MN2tipp	65
MN2tpp	65
MN6PP	65
MNLptspp	65
MNNH	65
MNt2pp	65
MOADSUx	65
MOAT	65
MOAT2	65
MOBDabcpp	65
MOBDtex	65
MOCDS	65
MOCOS	65
MOGDS	65
MOHMT	65
MOX	65
MPTAT	65
MPTG	65
MPTG2	65
MPTS	65
MPTSS	65
MSAR	65
MSO3abcpp	65
MTHFC	65
MTHFD	65
MTHFR2	65
MTRPOX	65
NADDP	65
NADH16pp	65
NADH5	65
NADHHR	65
NADHHS	65
NADHPO	65
NADHXD	65
NADHXE	65
NADK	65
NADN	65
NADPHHR	65
NADPHHS	65
NADPHQR2	65
NADPHXD	65
NADPHXE	65
NADPPPS	65
NADS1	65
NADTRHD	65
NAMNPP	65
NAt3_2pp	65
NAt3pp	65
NAtex	65
NDP7	65
NDPK1	65
NDPK2	65
NDPK3	65
NDPK4	65
NDPK5	65
NDPK6	65
NDPK7	65
NDPK8	65
NFLGLNH	65
NH4tpp	65
NHFRBO	65
NI2abcpp	65
NI2t3pp	65
NI2tpp	65
NI2uabcpp	65
NMNDA	65
NMNPtpp	65
NNAM	65
NNATr	65
NNDPR	65
NO2tex	65
NO3t7pp	65
NODOx	65
NODOy	65
NOVBCNtpp	65
NTD1	65
NTD10	65
NTD10pp	65
NTD11	65
NTD11pp	65
NTD12	65
NTD1pp	65
NTD2	65
NTD2pp	65
NTD3	65
