Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS00720-MONOMER	EWS79_RS00720	phosphomethylpyrimidine synthase ThiC	
EWS79_RS07175-MONOMER	EWS79_RS07175	phosphopyruvate hydratase	CCI-CYTOSOL-GN
EWS79_RS05260-MONOMER	EWS79_RS05260	phosphoribosyl-AMP cyclohydrolase	
EWS79_RS06685-MONOMER	EWS79_RS06685	phosphoribosyl-ATP diphosphatase	
EWS79_RS01275-MONOMER	EWS79_RS01275	phosphoribosylamine--glycine ligase	CCI-CYTOSOL-GN
EWS79_RS04690-MONOMER	EWS79_RS04690	phosphoribosylaminoimidazolesuccinocarboxamide synthase	CCI-CYTOSOL-GN
EWS79_RS02585-MONOMER	EWS79_RS02585	phosphoribosylanthranilate isomerase	
EWS79_RS03130-MONOMER	EWS79_RS03130	phosphoribosylformylglycinamidine cyclo-ligase	
CPLX1W2W-5	EWS79_RS06830 // EWS79_RS06825	phosphoribosylformylglycinamidine synthase	
EWS79_RS03625-MONOMER	EWS79_RS03625	phosphoribosylformylglycinamidine synthase subunit PurL	
EWS79_RS06830-MONOMER	EWS79_RS06830	phosphoribosylformylglycinamidine synthase subunit PurQ	CCI-CYTOSOL-GN
EWS79_RS06825-MONOMER	EWS79_RS06825	phosphoribosylformylglycinamidine synthase subunit PurS	
EWS79_RS03125-MONOMER	EWS79_RS03125	phosphoribosylglycinamide formyltransferase	
EWS79_RS02885-MONOMER	EWS79_RS02885	phosphoribosyltransferase	CCI-CYTOSOL-GN
EWS79_RS03875-MONOMER	EWS79_RS03875	phosphorylase	
EWS79_RS05070-MONOMER	EWS79_RS05070	phosphoserine phosphatase SerB	
EWS79_RS07535-MONOMER	EWS79_RS07535	phosphoserine transaminase	
EWS79_RS05905-MONOMER	EWS79_RS05905	phosphotransferase	
EWS79_RS08830-MONOMER	EWS79_RS08830	PhzF family phenazine biosynthesis protein	
EWS79_RS08060-MONOMER	EWS79_RS08060	PhzF family phenazine biosynthesis protein	
EWS79_RS05955-MONOMER	EWS79_RS05955	pirin family protein	
EWS79_RS08825-MONOMER	EWS79_RS08825	PLP-dependent aminotransferase family protein	
EWS79_RS08305-MONOMER	EWS79_RS08305	PLP-dependent aminotransferase family protein	
EWS79_RS05940-MONOMER	EWS79_RS05940	polyisoprenoid-binding protein	
EWS79_RS03785-MONOMER	EWS79_RS03785	polyprenyl synthetase family protein	CCI-CYTOSOL-GN
EWS79_RS02485-MONOMER	EWS79_RS02485	polyprenyl synthetase family protein	
EWS79_RS02410-MONOMER	EWS79_RS02410	polyribonucleotide nucleotidyltransferase	
EWS79_RS06425-MONOMER	EWS79_RS06425	polysaccharide biosynthesis protein	
EWS79_RS06410-MONOMER	EWS79_RS06410	porin	
EWS79_RS04665-MONOMER	EWS79_RS04665	porin	
EWS79_RS06645-MONOMER	EWS79_RS06645	porin family protein	
EWS79_RS08480-MONOMER	EWS79_RS08480	porphobilinogen synthase	
EWS79_RS05410-MONOMER	EWS79_RS05410	potassium transporter Kup	CCI-PM-BAC-NEG-GN
EWS79_RS03150-MONOMER	EWS79_RS03150	Ppx/GppA family phosphatase	
EWS79_RS01710-MONOMER	EWS79_RS01710	Ppx/GppA family phosphatase	
EWS79_RS02455-MONOMER	EWS79_RS02455	PQQ-dependent sugar dehydrogenase	
CPLX1W2W-17	EWS79_RS06185 // EWS79_RS06190	predicted ABC efflux transporter of a lipopolysaccharide	
CPLX1W2W-18	EWS79_RS01195 // EWS79_RS01185	predicted ABC efflux transporter of a lipopolysaccharide	
CPLX1W2W-19	EWS79_RS04685 // EWS79_RS04680 // EWS79_RS04675 // EWS79_RS04670	predicted ABC transporter of phosphate	
EWS79_RS07505-MONOMER	EWS79_RS07505	prephenate dehydratase	
EWS79_RS01790-MONOMER	EWS79_RS01790	prephenate dehydrogenase/arogenate dehydrogenase family protein	
EWS79_RS04105-MONOMER	EWS79_RS04105	preprotein translocase subunit SecA	
EWS79_RS03200-MONOMER	EWS79_RS03200	preprotein translocase subunit SecE	CCI-PM-BAC-NEG-GN
EWS79_RS01975-MONOMER	EWS79_RS01975	preprotein translocase subunit SecG	
EWS79_RS02340-MONOMER	EWS79_RS02340	preprotein translocase subunit SecY	CCI-PM-BAC-NEG-GN
EWS79_RS08565-MONOMER	EWS79_RS08565	preprotein translocase subunit YajC	CCI-PM-BAC-NEG-GN
EWS79_RS03860-MONOMER	EWS79_RS03860	presqualene diphosphate synthase HpnD	
