Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
EWS79_RS01375-MONOMER	EWS79_RS01375	signal peptidase II	CCI-PM-BAC-NEG-GN
EWS79_RS08715-MONOMER	EWS79_RS08715	signal peptide peptidase SppA	
EWS79_RS04790-MONOMER	EWS79_RS04790	signal recognition particle protein	CCI-PM-BAC-NEG-GN
EWS79_RS04775-MONOMER	EWS79_RS04775	signal recognition particle-docking protein FtsY	CCI-CYTOSOL-GN
EWS79_RS06865-MONOMER	EWS79_RS06865	single-stranded DNA-binding protein	CCI-CYTOSOL-GN
EWS79_RS05510-MONOMER	EWS79_RS05510	single-stranded-DNA-specific exonuclease RecJ	
EWS79_RS08155-MONOMER	EWS79_RS08155	SIR2 family protein	
EWS79_RS04480-MONOMER	EWS79_RS04480	site-specific DNA-methyltransferase	CCI-CYTOSOL-GN
EWS79_RS09010-MONOMER	EWS79_RS09010	SMP-30/gluconolactonase/LRE family protein	CCI-CYTOSOL-GN
EWS79_RS07370-MONOMER	EWS79_RS07370	SMP-30/gluconolactonase/LRE family protein	
EWS79_RS03745-MONOMER	EWS79_RS03745	sodium/hydrogen exchanger	CCI-PM-BAC-NEG-GN
EWS79_RS05725-MONOMER	EWS79_RS05725	sorbitol dehydrogenase	
EWS79_RS03715-MONOMER	EWS79_RS03715	SPOR domain-containing protein	
EWS79_RS03735-MONOMER	EWS79_RS03735	SPOR domain-containing protein	
EWS79_RS03550-MONOMER	EWS79_RS03550	sporulation protein	
EWS79_RS03855-MONOMER	EWS79_RS03855	squalene synthase HpnC	
EWS79_RS06890-MONOMER	EWS79_RS06890	squalene--hopene cyclase	
EWS79_RS03870-MONOMER	EWS79_RS03870	squalene--hopene cyclase	
EWS79_RS03185-MONOMER	EWS79_RS03185	SsrA-binding protein SmpB	
EWS79_RS00345-MONOMER	EWS79_RS00345	STAS domain-containing protein	
EWS79_RS02510-MONOMER	EWS79_RS02510	succinate dehydrogenase cytochrome b subunit	
EWS79_RS02500-MONOMER	EWS79_RS02500	succinate--CoA ligase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS07285-MONOMER	EWS79_RS07285	succinyl-diaminopimelate desuccinylase	
EWS79_RS05675-MONOMER	EWS79_RS05675	succinylglutamate-semialdehyde dehydrogenase	
EWS79_RS04195-MONOMER	EWS79_RS04195	sucrose-6-phosphate hydrolase	
EWS79_RS01825-MONOMER	EWS79_RS01825	SUF system Fe-S cluster assembly protein	
EWS79_RS01800-MONOMER	EWS79_RS01800	SUF system Fe-S cluster assembly regulator	
EWS79_RS01815-MONOMER	EWS79_RS01815	SufD family Fe-S cluster assembly protein	
EWS79_RS04755-MONOMER	EWS79_RS04755	SufE family protein	
EWS79_RS08080-MONOMER	EWS79_RS08080	sugar O-acetyltransferase	CCI-CYTOSOL-GN
EWS79_RS01250-MONOMER	EWS79_RS01250	sugar porter family MFS transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04040-MONOMER	EWS79_RS04040	sugar transporter	
CPLX1W2W-16	EWS79_RS00025 // EWS79_RS00020	sulfate adenylyltransferase	
EWS79_RS00025-MONOMER	EWS79_RS00025	sulfate adenylyltransferase subunit CysD	CCI-CYTOSOL-GN
EWS79_RS00020-MONOMER	EWS79_RS00020	sulfate adenylyltransferase subunit CysN	
EWS79_RS00230-MONOMER	EWS79_RS00230	sulfite exporter TauE/SafE family protein	CCI-PM-BAC-NEG-GN
EWS79_RS03270-MONOMER	EWS79_RS03270	sulfur carrier protein ThiS	
EWS79_RS06505-MONOMER	EWS79_RS06505	sulfurtransferase	
EWS79_RS02390-MONOMER	EWS79_RS02390	SulP family inorganic anion transporter	CCI-PM-BAC-NEG-GN
EWS79_RS04720-MONOMER	EWS79_RS04720	superoxide dismutase	CCI-PERI-BAC-GN
EWS79_RS01690-MONOMER	EWS79_RS01690	tail fiber domain-containing protein	
EWS79_RS00280-MONOMER	EWS79_RS00280	tail tube protein	
EWS79_RS04875-MONOMER	EWS79_RS04875	TatD family deoxyribonuclease	
EWS79_RS05105-MONOMER	EWS79_RS05105	teicoplanin resistance protein VanZ	CCI-PM-BAC-NEG-GN
EWS79_RS06885-MONOMER	EWS79_RS06885	TetR/AcrR family transcriptional regulator	
EWS79_RS04285-MONOMER	EWS79_RS04285	TetR/AcrR family transcriptional regulator	
EWS79_RS01210-MONOMER	EWS79_RS01210	TetR/AcrR family transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS03350-MONOMER	EWS79_RS03350	tetratricopeptide repeat protein	
EWS79_RS03375-MONOMER	EWS79_RS03375	tetratricopeptide repeat protein	
EWS79_RS03355-MONOMER	EWS79_RS03355	tetratricopeptide repeat protein	
EWS79_RS04835-MONOMER	EWS79_RS04835	tetratricopeptide repeat protein	
EWS79_RS05285-MONOMER	EWS79_RS05285	tetratricopeptide repeat protein	
EWS79_RS01925-MONOMER	EWS79_RS01925	tetratricopeptide repeat protein	
EWS79_RS07640-MONOMER	EWS79_RS07640	tetratricopeptide repeat protein	
EWS79_RS01410-MONOMER	EWS79_RS01410	thiamine phosphate synthase	CCI-CYTOSOL-GN
EWS79_RS06340-MONOMER	EWS79_RS06340	thiamine phosphate synthase	
EWS79_RS06915-MONOMER	EWS79_RS06915	thiamine-phosphate kinase	
EWS79_RS04895-MONOMER	EWS79_RS04895	thioredoxin	CCI-CYTOSOL-GN
EWS79_RS08680-MONOMER	EWS79_RS08680	thioredoxin family protein	
EWS79_RS05095-MONOMER	EWS79_RS05095	thioredoxin-disulfide reductase	CCI-CYTOSOL-GN
EWS79_RS05685-MONOMER	EWS79_RS05685	threonine ammonia-lyase	CCI-CYTOSOL-GN
EWS79_RS08540-MONOMER	EWS79_RS08540	threonine synthase	CCI-CYTOSOL-GN
EWS79_RS03385-MONOMER	EWS79_RS03385	threonine--tRNA ligase	CCI-CYTOSOL-GN
EWS79_RS04450-MONOMER	EWS79_RS04450	threonylcarbamoyl-AMP synthase	
EWS79_RS02425-MONOMER	EWS79_RS02425	thymidine kinase	
EWS79_RS07860-MONOMER	EWS79_RS07860	thymidylate synthase	
EWS79_RS07150-MONOMER	EWS79_RS07150	TIGR01244 family phosphatase	
EWS79_RS07310-MONOMER	EWS79_RS07310	Tim44 domain-containing protein	
EWS79_RS05060-MONOMER	EWS79_RS05060	TldD/PmbA family protein	
EWS79_RS05820-MONOMER	EWS79_RS05820	TlyA family RNA methyltransferase	
EWS79_RS00680-MONOMER	EWS79_RS00680	Tol-Pal system protein TolB	CCI-PERI-BAC-GN
EWS79_RS06355-MONOMER	EWS79_RS06355	TolC family protein	CCI-OUTER-MEM-GN
EWS79_RS03530-MONOMER	EWS79_RS03530	TolC family protein	CCI-OUTER-MEM-GN
EWS79_RS07095-MONOMER	EWS79_RS07095	toll/interleukin-1 receptor domain-containing protein	
EWS79_RS04730-MONOMER	EWS79_RS04730	TonB family protein	
EWS79_RS00005-MONOMER	EWS79_RS00005	TonB-dependent receptor	
EWS79_RS06520-MONOMER	EWS79_RS06520	TonB-dependent receptor	
EWS79_RS04365-MONOMER	EWS79_RS04365	TonB-dependent receptor	
EWS79_RS06790-MONOMER	EWS79_RS06790	TonB-dependent receptor	
EWS79_RS05620-MONOMER	EWS79_RS05620	TonB-dependent receptor	
EWS79_RS00150-MONOMER	EWS79_RS00150	TonB-dependent receptor	
EWS79_RS08085-MONOMER	EWS79_RS08085	TonB-dependent receptor	
EWS79_RS03995-MONOMER	EWS79_RS03995	TonB-dependent receptor	
EWS79_RS04635-MONOMER	EWS79_RS04635	TonB-dependent receptor	
EWS79_RS07585-MONOMER	EWS79_RS07585	TonB-dependent receptor	
EWS79_RS03520-MONOMER	EWS79_RS03520	TonB-dependent receptor	
EWS79_RS00530-MONOMER	EWS79_RS00530	TonB-dependent receptor	
EWS79_RS02470-MONOMER	EWS79_RS02470	TonB-dependent receptor	
EWS79_RS09020-MONOMER	EWS79_RS09020	TonB-dependent receptor	
EWS79_RS06970-MONOMER	EWS79_RS06970	TonB-dependent receptor	
EWS79_RS05775-MONOMER	EWS79_RS05775	TonB-dependent receptor	
EWS79_RS08125-MONOMER	EWS79_RS08125	TonB-dependent receptor	
EWS79_RS03490-MONOMER	EWS79_RS03490	TonB-dependent receptor	
EWS79_RS06565-MONOMER	EWS79_RS06565	TonB-dependent receptor	
EWS79_RS00800-MONOMER	EWS79_RS00800	TonB-dependent siderophore receptor	
EWS79_RS07280-MONOMER	EWS79_RS07280	TonB-dependent siderophore receptor	
EWS79_RS08160-MONOMER	EWS79_RS08160	TonB-dependent siderophore receptor	
EWS79_RS06145-MONOMER	EWS79_RS06145	toxic anion resistance protein	
EWS79_RS04650-MONOMER	EWS79_RS04650	TPM domain-containing protein	
EWS79_RS06440-MONOMER	EWS79_RS06440	TraB/GumN family protein	
EWS79_RS06910-MONOMER	EWS79_RS06910	transcription antitermination factor NusB	
EWS79_RS07205-MONOMER	EWS79_RS07205	transcription elongation factor GreA	CCI-CYTOSOL-GN
EWS79_RS03170-MONOMER	EWS79_RS03170	transcription elongation factor GreB	
EWS79_RS09045-MONOMER	EWS79_RS09045	transcription termination factor Rho	CCI-CYTOSOL-GN
EWS79_RS03205-MONOMER	EWS79_RS03205	transcription termination/antitermination factor NusG	CCI-CYTOSOL-GN
EWS79_RS02445-MONOMER	EWS79_RS02445	transcription termination/antitermination protein NusA	CCI-CYTOSOL-GN
EWS79_RS07350-MONOMER	EWS79_RS07350	transcription-repair coupling factor	
EWS79_RS03090-MONOMER	EWS79_RS03090	transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS07600-MONOMER	EWS79_RS07600	transcriptional regulator	CCI-CYTOSOL-GN
EWS79_RS00405-MONOMER	EWS79_RS00405	transcriptional regulator	
EWS79_RS05615-MONOMER	EWS79_RS05615	transcriptional regulator	CCI-PM-BAC-NEG-GN
EWS79_RS05535-MONOMER	EWS79_RS05535	transcriptional repressor	CCI-CYTOSOL-GN
EWS79_RS06275-MONOMER	EWS79_RS06275	transcriptional repressor	CCI-CYTOSOL-GN
EWS79_RS00850-MONOMER	EWS79_RS00850	transcriptional repressor LexA	
EWS79_RS05380-MONOMER	EWS79_RS05380	transcriptional repressor NrdR	CCI-CYTOSOL-GN
EWS79_RS07300-MONOMER	EWS79_RS07300	transglycosylase	
EWS79_RS00740-MONOMER	EWS79_RS00740	transketolase	CCI-CYTOSOL-GN
EWS79_RS04530-MONOMER	EWS79_RS04530	translation initiation factor IF-1	CCI-CYTOSOL-GN
EWS79_RS02435-MONOMER	EWS79_RS02435	translation initiation factor IF-2	
EWS79_RS08615-MONOMER	EWS79_RS08615	translation initiation factor IF-3	CCI-CYTOSOL-GN
EWS79_RS06555-MONOMER	EWS79_RS06555	translational GTPase TypA	CCI-CYTOSOL-GN
EWS79_RS05240-MONOMER	EWS79_RS05240	translocation/assembly module TamB	
EWS79_RS07520-MONOMER	EWS79_RS07520	transporter	CCI-PM-BAC-NEG-GN
EWS79_RS08240-MONOMER	EWS79_RS08240	transporter	
EWS79_RS03040-MONOMER	EWS79_RS03040	transporter	
EWS79_RS03290-MONOMER	EWS79_RS03290	transporter	
EWS79_RS04215-MONOMER	EWS79_RS04215	trigger factor	
EWS79_RS01980-MONOMER	EWS79_RS01980	triose-phosphate isomerase	CCI-CYTOSOL-GN
EWS79_RS05075-MONOMER	EWS79_RS05075	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA	
EWS79_RS04915-MONOMER	EWS79_RS04915	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	
EWS79_RS06290-MONOMER	EWS79_RS06290	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB	
EWS79_RS08605-MONOMER	EWS79_RS08605	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	CCI-EXTRACELLULAR-GN
EWS79_RS04245-MONOMER	EWS79_RS04245	tRNA (cytidine(34)-2'-O)-methyltransferase	
EWS79_RS04805-MONOMER	EWS79_RS04805	tRNA (guanosine(37)-N1)-methyltransferase TrmD	
EWS79_RS00610-MONOMER	EWS79_RS00610	tRNA (guanosine(46)-N7)-methyltransferase TrmB	
EWS79_RS04780-MONOMER	EWS79_RS04780	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB	
EWS79_RS00310-MONOMER	EWS79_RS00310	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	CCI-CYTOSOL-GN
EWS79_RS03405-MONOMER	EWS79_RS03405	tRNA 2-thiouridine(34) synthase MnmA	
EWS79_RS05020-MONOMER	EWS79_RS05020	tRNA dihydrouridine synthase DusB	
EWS79_RS01535-MONOMER	EWS79_RS01535	tRNA guanosine(34) transglycosylase Tgt	
EWS79_RS07415-MONOMER	EWS79_RS07415	tRNA lysidine(34) synthetase TilS	
EWS79_RS03770-MONOMER	EWS79_RS03770	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA	
EWS79_RS03580-MONOMER	EWS79_RS03580	tRNA pseudouridine(38-40) synthase TruA	
EWS79_RS02420-MONOMER	EWS79_RS02420	tRNA pseudouridine(55) synthase TruB	
EWS79_RS09005-MONOMER	EWS79_RS09005	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	
EWS79_RS09025-MONOMER	EWS79_RS09025	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	
CPLX1W2W-12	EWS79_RS02580 // EWS79_RS02575	tryptophan synthase	
EWS79_RS02575-MONOMER	EWS79_RS02575	tryptophan synthase subunit alpha	CCI-CYTOSOL-GN
EWS79_RS02580-MONOMER	EWS79_RS02580	tryptophan synthase subunit beta	CCI-CYTOSOL-GN
EWS79_RS07325-MONOMER	EWS79_RS07325	tryptophan--tRNA ligase	
EWS79_RS05460-MONOMER	EWS79_RS05460	twin-arginine translocase subunit TatB	
EWS79_RS05455-MONOMER	EWS79_RS05455	twin-arginine translocase subunit TatC	
EWS79_RS05465-MONOMER	EWS79_RS05465	twin-arginine translocase TatA/TatE family subunit	
EWS79_RS05190-MONOMER	EWS79_RS05190	two-component sensor histidine kinase	
EWS79_RS02115-MONOMER	EWS79_RS02115	type I glutamate--ammonia ligase	CCI-CYTOSOL-GN
EWS79_RS00745-MONOMER	EWS79_RS00745	type I glyceraldehyde-3-phosphate dehydrogenase	CCI-CYTOSOL-GN
EWS79_RS06000-MONOMER	EWS79_RS06000	type I methionyl aminopeptidase	CCI-CYTOSOL-GN
EWS79_RS08760-MONOMER	EWS79_RS08760	type I restriction-modification protein subunit M	
EWS79_RS01090-MONOMER	EWS79_RS01090	type I secretion system permease/ATPase	
EWS79_RS03000-MONOMER	EWS79_RS03000	type I-F CRISPR-associated endonuclease Cas1	
EWS79_RS03025-MONOMER	EWS79_RS03025	type I-F CRISPR-associated endoribonuclease Cas6/Csy4	
EWS79_RS03005-MONOMER	EWS79_RS03005	type I-F CRISPR-associated helicase Cas3	
EWS79_RS03010-MONOMER	EWS79_RS03010	type I-F CRISPR-associated protein Csy1	
EWS79_RS03015-MONOMER	EWS79_RS03015	type I-F CRISPR-associated protein Csy2	
EWS79_RS03020-MONOMER	EWS79_RS03020	type I-F CRISPR-associated protein Csy3	
EWS79_RS03265-MONOMER	EWS79_RS03265	type II 3-dehydroquinate dehydratase	CCI-CYTOSOL-GN
EWS79_RS05040-MONOMER	EWS79_RS05040	type II toxin-antitoxin system RatA family toxin	CCI-CYTOSOL-GN
EWS79_RS08420-MONOMER	EWS79_RS08420	type III pantothenate kinase	
EWS79_RS04560-MONOMER	EWS79_RS04560	type III PLP-dependent enzyme	
EWS79_RS08655-MONOMER	EWS79_RS08655	tyrosine recombinase XerC	
EWS79_RS02635-MONOMER	EWS79_RS02635	tyrosine recombinase XerD	
EWS79_RS07340-MONOMER	EWS79_RS07340	tyrosine--tRNA ligase	
EWS79_RS08705-MONOMER	EWS79_RS08705	U32 family peptidase	
EWS79_RS04255-MONOMER	EWS79_RS04255	ubiquinol-cytochrome c reductase iron-sulfur subunit	
EWS79_RS07465-MONOMER	EWS79_RS07465	ubiquinone biosynthesis protein UbiB	CCI-CYTOSOL-GN
EWS79_RS07630-MONOMER	EWS79_RS07630	ubiquinone biosynthesis protein UbiH	
EWS79_RS03620-MONOMER	EWS79_RS03620	UDP-glucose/GDP-mannose dehydrogenase family protein	
EWS79_RS03690-MONOMER	EWS79_RS03690	UDP-N-acetylenolpyruvoylglucosamine reductase	
EWS79_RS07735-MONOMER	EWS79_RS07735	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	CCI-CYTOSOL-GN
EWS79_RS03685-MONOMER	EWS79_RS03685	UDP-N-acetylmuramate--L-alanine ligase	
EWS79_RS03670-MONOMER	EWS79_RS03670	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	
EWS79_RS03655-MONOMER	EWS79_RS03655	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase	
EWS79_RS03660-MONOMER	EWS79_RS03660	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase	
EWS79_RS05155-MONOMER	EWS79_RS05155	UMP kinase	CCI-CYTOSOL-GN
EWS79_RS04970-MONOMER	EWS79_RS04970	undecaprenyl-diphosphate phosphatase	
EWS79_RS03680-MONOMER	EWS79_RS03680	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	
EWS79_RS07365-MONOMER	EWS79_RS07365	uracil-DNA glycosylase	
EWS79_RS05295-MONOMER	EWS79_RS05295	uracil-DNA glycosylase	
EWS79_RS09055-MONOMER	EWS79_RS09055	uroporphyrinogen decarboxylase	
EWS79_RS05670-MONOMER	EWS79_RS05670	uroporphyrinogen-III C-methyltransferase	
EWS79_RS00030-MONOMER	EWS79_RS00030	uroporphyrinogen-III C-methyltransferase	
EWS79_RS08595-MONOMER	EWS79_RS08595	uroporphyrinogen-III synthase	
EWS79_RS07915-MONOMER	EWS79_RS07915	UTP--glucose-1-phosphate uridylyltransferase GalU	
EWS79_RS07830-MONOMER	EWS79_RS07830	VacJ family lipoprotein	
EWS79_RS08475-MONOMER	EWS79_RS08475	valine--tRNA ligase	
EWS79_RS00145-MONOMER	EWS79_RS00145	virulence protein	
EWS79_RS08360-MONOMER	EWS79_RS08360	VIT family protein	
EWS79_RS07715-MONOMER	EWS79_RS07715	VOC family protein	
EWS79_RS02400-MONOMER	EWS79_RS02400	voltage-gated chloride channel protein	
EWS79_RS01350-MONOMER	EWS79_RS01350	WGR domain-containing protein	
EWS79_RS08765-MONOMER	EWS79_RS08765	XRE family transcriptional regulator	
EWS79_RS03820-MONOMER	EWS79_RS03820	YbaB/EbfC family nucleoid-associated protein	
EWS79_RS08845-MONOMER	EWS79_RS08845	YbaK/EbsC family protein	
EWS79_RS00660-MONOMER	EWS79_RS00660	YbgC/FadM family acyl-CoA thioesterase	
EWS79_RS00155-MONOMER	EWS79_RS00155	YcgN family cysteine cluster protein	CCI-CYTOSOL-GN
EWS79_RS01780-MONOMER	EWS79_RS01780	YdcF family protein	
EWS79_RS00630-MONOMER	EWS79_RS00630	YebC/PmpR family DNA-binding transcriptional regulator	
EWS79_RS03065-MONOMER	EWS79_RS03065	YfdX family protein	
EWS79_RS00585-MONOMER	EWS79_RS00585	YggS family pyridoxal phosphate-dependent enzyme	
EWS79_RS01760-MONOMER	EWS79_RS01760	YggT family protein	CCI-PM-BAC-NEG-GN
EWS79_RS07260-MONOMER	EWS79_RS07260	YihA family ribosome biogenesis GTP-binding protein	
EWS79_RS07570-MONOMER	EWS79_RS07570	YihY/virulence factor BrkB family protein	
EWS79_RS02930-MONOMER	EWS79_RS02930	YnbE family lipoprotein	
EWS79_RS06960-MONOMER	EWS79_RS06960	YnfA family protein	
EWS79_RS01470-MONOMER	EWS79_RS01470	YqgE/AlgH family protein	
EWS79_RS07895-MONOMER	EWS79_RS07895	YraN family protein	
EWS79_RS05970-MONOMER	EWS79_RS05970	zinc metalloprotease	
EWS79_RS07910-MONOMER	EWS79_RS07910	zinc transporter ZntB	
EWS79_RS07595-MONOMER	EWS79_RS07595	zinc-binding alcohol dehydrogenase family protein	
EWS79_RS03390-MONOMER	EWS79_RS03390	[protein-PII] uridylyltransferase	
