Reaction,Metabolites,Compartment,Stoichiometry
3HAD160,G1G01-2027-MONOMER_mod_pan4p_mod_3hpalm,Cytosol,-1.0
3HAD160,h2o,Cytosol,1.0
3HAD160,G1G01-2027-MONOMER_mod_pan4p_mod_tpalm2e,Cytosol,1.0
13DAMPPabcpp,13dampp,Cytosol,1.0
13DAMPPabcpp,13dampp,Periplasm,-1.0
13DAMPPabcpp,adp,Cytosol,1.0
13DAMPPabcpp,atp,Cytosol,-1.0
13DAMPPabcpp,h2o,Cytosol,-1.0
13DAMPPabcpp,h,Cytosol,1.0
13DAMPPabcpp,pi,Cytosol,1.0
13DAMPPtex,13dampp,Extra-organism,-1.0
13DAMPPtex,13dampp,Periplasm,1.0
15DAPabcpp,15dap,Cytosol,1.0
15DAPabcpp,15dap,Periplasm,-1.0
15DAPabcpp,adp,Cytosol,1.0
15DAPabcpp,atp,Cytosol,-1.0
15DAPabcpp,h2o,Cytosol,-1.0
15DAPabcpp,h,Cytosol,1.0
15DAPabcpp,pi,Cytosol,1.0
1P2CBXLCYCL,1p2cbxl,Cytosol,1.0
1P2CBXLCYCL,5a2opntn,Cytosol,-1.0
1P2CBXLCYCL,h2o,Cytosol,1.0
1P2CBXLCYCL,h,Cytosol,1.0
1P2CBXLR,1p2cbxl,Cytosol,-1.0
1P2CBXLR,h,Cytosol,-2.0
1P2CBXLR,nadp,Cytosol,1.0
1P2CBXLR,nadph,Cytosol,-1.0
1P2CBXLR,pro__L,Cytosol,1.0
1PPDCRc,1pipdn2c,Cytosol,-1.0
1PPDCRc,Lpipecol,Cytosol,1.0
1PPDCRc,h,Cytosol,-1.0
1PPDCRc,nadp,Cytosol,1.0
1PPDCRc,nadph,Cytosol,-1.0
1PQQS,1pqq,Cytosol,1.0
1PQQS,2pqq,Cytosol,-1.0
1PQQS,o2,Cytosol,-1.0
1PY4h3cAH,1py4h3c,Cytosol,-1.0
1PY4h3cAH,25dop,Cytosol,1.0
1PY4h3cAH,h2o,Cytosol,-1.0
1PY4h3cAH,h,Cytosol,-1.0
1PY4h3cAH,nh4,Cytosol,1.0
23CTI1,dc2coa,Cytosol,1.0
23CTI1,decoa,Cytosol,-1.0
23CTI2,dd2coa,Cytosol,1.0
23CTI2,dded3coa,Cytosol,-1.0
23CTI3,dd6_2_coa,Cytosol,1.0
23CTI3,dd_3_6_coa,Cytosol,-1.0
24DECOAR,dc2coa,Cytosol,1.0
24DECOAR,dec4_2_coa,Cytosol,-1.0
24DECOAR,h,Cytosol,-1.0
24DECOAR,nadp,Cytosol,1.0
24DECOAR,nadph,Cytosol,-1.0
25DKGLCNt2rpp,25dkglcn,Cytosol,1.0
25DKGLCNt2rpp,25dkglcn,Periplasm,-1.0
25DKGLCNt2rpp,h,Cytosol,1.0
25DKGLCNt2rpp,h,Periplasm,-1.0
25DKGLCNtex,25dkglcn,Extra-organism,-1.0
25DKGLCNtex,25dkglcn,Periplasm,1.0
26DAHtex,26dap__M,Extra-organism,-1.0
26DAHtex,26dap__M,Periplasm,1.0
2AACLPGT160,2agpg160,Cytosol,-1.0
2AACLPGT160,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPGT160,G1G01-2027-MONOMER_mod_pan4p_mod_palm,Cytosol,-1.0
2AACLPGT160,pg160,Cytosol,1.0
2AACLPGT161,2agpg161,Cytosol,-1.0
2AACLPGT161,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPGT161,G1G01-2027-MONOMER_mod_pan4p_mod_hde,Cytosol,-1.0
2AACLPGT161,pg161,Cytosol,1.0
2AACLPGT180,2agpg180,Cytosol,-1.0
2AACLPGT180,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPGT180,G1G01-2027-MONOMER_mod_pan4p_mod_ocdca,Cytosol,-1.0
2AACLPGT180,pg180,Cytosol,1.0
2AACLPGT181,2agpg181,Cytosol,-1.0
2AACLPGT181,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPGT181,G1G01-2027-MONOMER_mod_pan4p_mod_octe,Cytosol,-1.0
2AACLPGT181,pg181,Cytosol,1.0
2AACLPPEAT160,2agpe160,Cytosol,-1.0
2AACLPPEAT160,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPPEAT160,G1G01-2027-MONOMER_mod_pan4p_mod_palm,Cytosol,-1.0
2AACLPPEAT160,pe160,Cytosol,1.0
2AACLPPEAT161,2agpe161,Cytosol,-1.0
2AACLPPEAT161,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPPEAT161,G1G01-2027-MONOMER_mod_pan4p_mod_hde,Cytosol,-1.0
2AACLPPEAT161,pe161,Cytosol,1.0
2AACLPPEAT180,2agpe180,Cytosol,-1.0
2AACLPPEAT180,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPPEAT180,G1G01-2027-MONOMER_mod_pan4p_mod_ocdca,Cytosol,-1.0
2AACLPPEAT180,pe180,Cytosol,1.0
2AACLPPEAT181,2agpe181,Cytosol,-1.0
2AACLPPEAT181,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
2AACLPPEAT181,G1G01-2027-MONOMER_mod_pan4p_mod_octe,Cytosol,-1.0
2AACLPPEAT181,pe181,Cytosol,1.0
2AGPE160tipp,2agpe160,Cytosol,1.0
2AGPE160tipp,2agpe160,Periplasm,-1.0
2AGPE161tipp,2agpe161,Cytosol,1.0
2AGPE161tipp,2agpe161,Periplasm,-1.0
2AGPE180tipp,2agpe180,Cytosol,1.0
2AGPE180tipp,2agpe180,Periplasm,-1.0
2AGPE181tipp,2agpe181,Cytosol,1.0
2AGPE181tipp,2agpe181,Periplasm,-1.0
2AGPG160tipp,2agpg160,Cytosol,1.0
2AGPG160tipp,2agpg160,Periplasm,-1.0
2AGPG161tipp,2agpg161,Cytosol,1.0
2AGPG161tipp,2agpg161,Periplasm,-1.0
2AGPG180tipp,2agpg180,Cytosol,1.0
2AGPG180tipp,2agpg180,Periplasm,-1.0
2AGPG181tipp,2agpg181,Cytosol,1.0
2AGPG181tipp,2agpg181,Periplasm,-1.0
2DHGLCK,2dhglcn,Cytosol,-1.0
2DHGLCK,6p2dhglcn,Cytosol,1.0
2DHGLCK,adp,Cytosol,1.0
2DHGLCK,atp,Cytosol,-1.0
2DHGLCK,h,Cytosol,-2.0
2DHGLCNkt_tpp,2dhglcn,Cytosol,1.0
2DHGLCNkt_tpp,2dhglcn,Periplasm,-1.0
2DHGLCNkt_tpp,h,Cytosol,1.0
2DHGLCNkt_tpp,h,Periplasm,-1.0
2DHGLCNtex,2dhglcn,Extra-organism,-1.0
2DHGLCNtex,2dhglcn,Periplasm,1.0
2PQQS,2pqq,Cytosol,1.0
2PQQS,3pqq,Cytosol,-1.0
2PQQS,h2o,Cytosol,1.0
34DHCINMtex,34dhcinm,Extra-organism,-1.0
34DHCINMtex,34dhcinm,Periplasm,1.0
34DHCINMtpp,34dhcinm,Cytosol,1.0
34DHCINMtpp,34dhcinm,Periplasm,-1.0
34DHPHEtex,34dhphe,Extra-organism,-1.0
34DHPHEtex,34dhphe,Periplasm,1.0
34DHPHEtpp,34dhphe,Cytosol,1.0
34DHPHEtpp,34dhphe,Periplasm,-1.0
34DHPHEtpp,h,Cytosol,1.0
34DHPHEtpp,h,Periplasm,-1.0
34HPPOR,34hpp,Cytosol,-1.0
34HPPOR,co2,Cytosol,1.0
34HPPOR,hgentis,Cytosol,1.0
34HPPOR,o2,Cytosol,-1.0
3AIBT2,3aib,Cytosol,1.0
3AIBT2,ala__L,Cytosol,-1.0
3AIBT2,mmtsa,Cytosol,-1.0
3AIBT2,pyr,Cytosol,1.0
3HAACOAT100,G1G01-2027-MONOMER_mod_pan4p_mod_3hdec,Cytosol,-1.0
3HAACOAT100,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT100,R_3hdcoa,Cytosol,1.0
3HAACOAT100,coa,Cytosol,-1.0
3HAACOAT120,G1G01-2027-MONOMER_mod_pan4p_mod_3hddec,Cytosol,-1.0
3HAACOAT120,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT120,R_3hddcoa,Cytosol,1.0
3HAACOAT120,coa,Cytosol,-1.0
3HAACOAT121,G1G01-2027-MONOMER_mod_pan4p_mod_3hcddec5e,Cytosol,-1.0
3HAACOAT121,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT121,R_3hcddec5ecoa,Cytosol,1.0
3HAACOAT121,coa,Cytosol,-1.0
3HAACOAT140,G1G01-2027-MONOMER_mod_pan4p_mod_3hmrs,Cytosol,-1.0
3HAACOAT140,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT140,R_3hmrscoa,Cytosol,1.0
3HAACOAT140,coa,Cytosol,-1.0
3HAACOAT141,G1G01-2027-MONOMER_mod_pan4p_mod_3hcmrs7e,Cytosol,-1.0
3HAACOAT141,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT141,R_3hcmrs7ecoa,Cytosol,1.0
3HAACOAT141,coa,Cytosol,-1.0
3HAACOAT60,G1G01-2027-MONOMER_mod_pan4p_mod_3hhex,Cytosol,-1.0
3HAACOAT60,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT60,R_3hhcoa,Cytosol,1.0
3HAACOAT60,coa,Cytosol,-1.0
3HAACOAT80,G1G01-2027-MONOMER_mod_pan4p_mod_3hoct,Cytosol,-1.0
3HAACOAT80,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
3HAACOAT80,R_3hocoa,Cytosol,1.0
3HAACOAT80,coa,Cytosol,-1.0
3HAD100,G1G01-2027-MONOMER_mod_pan4p_mod_3hdec,Cytosol,-1.0
3HAD100,h2o,Cytosol,1.0
3HAD100,G1G01-2027-MONOMER_mod_pan4p_mod_tdec2e,Cytosol,1.0
3HAD120,G1G01-2027-MONOMER_mod_pan4p_mod_3hddec,Cytosol,-1.0
3HAD120,h2o,Cytosol,1.0
3HAD120,G1G01-2027-MONOMER_mod_pan4p_mod_tddec2e,Cytosol,1.0
3HAD121,G1G01-2027-MONOMER_mod_pan4p_mod_3hcddec5e,Cytosol,-1.0
3HAD121,h2o,Cytosol,1.0
3HAD121,G1G01-2027-MONOMER_mod_pan4p_mod_t3c5ddece,Cytosol,1.0
3HAD140,G1G01-2027-MONOMER_mod_pan4p_mod_3hmrs,Cytosol,-1.0
3HAD140,h2o,Cytosol,1.0
3HAD140,G1G01-2027-MONOMER_mod_pan4p_mod_tmrs2e,Cytosol,1.0
3HAD141,G1G01-2027-MONOMER_mod_pan4p_mod_3hcmrs7e,Cytosol,-1.0
3HAD141,h2o,Cytosol,1.0
3HAD141,G1G01-2027-MONOMER_mod_pan4p_mod_t3c7mrse,Cytosol,1.0
ACOAD31f,fad,Cytosol,-1.0
ACOAD31f,fadh2,Cytosol,1.0
ACOAD31f,lnlc2coa,Cytosol,1.0
ACOAD31f,lnlccoa,Cytosol,-1.0
ACOAD32f,fad,Cytosol,-1.0
ACOAD32f,fadh2,Cytosol,1.0
ACOAD32f,hd710_2_coa,Cytosol,1.0
ACOAD32f,hd_7_10_coa,Cytosol,-1.0
ACOAD33f,fad,Cytosol,-1.0
ACOAD33f,fadh2,Cytosol,1.0
ACOAD33f,td58_2_coa,Cytosol,1.0
ACOAD33f,td_5_8_coa,Cytosol,-1.0
ACOAD34f,dec4_2_coa,Cytosol,1.0
ACOAD34f,dec4coa,Cytosol,-1.0
ACOAD34f,fad,Cytosol,-1.0
ACOAD34f,fadh2,Cytosol,1.0
ACOAD3f,fad,Cytosol,-1.0
ACOAD3f,fadh2,Cytosol,1.0
ACOAD3f,oc2coa,Cytosol,1.0
ACOAD3f,occoa,Cytosol,-1.0
ACOAD4f,dc2coa,Cytosol,1.0
ACOAD4f,dcacoa,Cytosol,-1.0
ACOAD4f,fad,Cytosol,-1.0
ACOAD4f,fadh2,Cytosol,1.0
ACOAD5f,dd2coa,Cytosol,1.0
ACOAD5f,ddcacoa,Cytosol,-1.0
ACOAD5f,fad,Cytosol,-1.0
ACOAD5f,fadh2,Cytosol,1.0
ACOAD6f,fad,Cytosol,-1.0
ACOAD6f,fadh2,Cytosol,1.0
ACOAD6f,td2coa,Cytosol,1.0
ACOAD6f,tdcoa,Cytosol,-1.0
ACOAD7f,fad,Cytosol,-1.0
ACOAD7f,fadh2,Cytosol,1.0
ACOAD7f,hdd2coa,Cytosol,1.0
ACOAD7f,pmtcoa,Cytosol,-1.0
ACOAD8f,fad,Cytosol,-1.0
ACOAD8f,fadh2,Cytosol,1.0
ACOAD8f,od2coa,Cytosol,1.0
ACOAD8f,stcoa,Cytosol,-1.0
ACOADH1,2mb2coa,Cytosol,1.0
ACOADH1,2mbcoa,Cytosol,-1.0
ACOADH1,fad,Cytosol,-1.0
ACOADH1,fadh2,Cytosol,1.0
ACOADH2,2mp2coa,Cytosol,2.0
ACOADH2,h2o,Cytosol,2.0
ACOADH2,ibcoa,Cytosol,-2.0
ACOADH2,o2,Cytosol,-1.0
ACOATA,G1G01-2027-MONOMER_mod_pan4p,Cytosol,-1.0
ACOATA,G1G01-2027-MONOMER_mod_pan4p_mod_ac,Cytosol,1.0
ACOATA,accoa,Cytosol,-1.0
ACOATA,coa,Cytosol,1.0
ACODA,ac,Cytosol,1.0
ACODA,acorn,Cytosol,-1.0
ACODA,h2o,Cytosol,-1.0
ACODA,orn,Cytosol,1.0
ACONCt4pp,acon_C,Cytosol,1.0
ACONCt4pp,acon_C,Periplasm,-1.0
ACONCt4pp,na1,Cytosol,1.0
ACONCt4pp,na1,Periplasm,-1.0
ACONCtex,acon_C,Extra-organism,-1.0
ACONCtex,acon_C,Periplasm,1.0
ACONIs,acon_C,Cytosol,1.0
ACONIs,acon_T,Cytosol,-1.0
ACONMT,acon_T,Cytosol,-1.0
ACONMT,aconm,Cytosol,1.0
ACONMT,ahcys,Cytosol,1.0
ACONMT,amet,Cytosol,-1.0
ACONTa,acon_C,Cytosol,1.0
ACONTa,cit,Cytosol,-1.0
ACONTa,h2o,Cytosol,1.0
ACONTb,acon_C,Cytosol,-1.0
ACONTb,h2o,Cytosol,-1.0
ACONTb,icit,Cytosol,1.0
ACOTA,acg5sa,Cytosol,1.0
ACOTA,acorn,Cytosol,-1.0
ACOTA,akg,Cytosol,-1.0
ACOTA,glu__L,Cytosol,1.0
ACPPAT120,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT120,G1G01-2027-MONOMER_mod_pan4p_mod_ddca,Cytosol,-1.0
ACPPAT120,ddcap,Cytosol,1.0
ACPPAT120,h,Cytosol,-1.0
ACPPAT120,pi,Cytosol,-1.0
ACPPAT140,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT140,h,Cytosol,-1.0
ACPPAT140,G1G01-2027-MONOMER_mod_pan4p_mod_myrs,Cytosol,-1.0
ACPPAT140,pi,Cytosol,-1.0
ACPPAT140,ttdcap,Cytosol,1.0
ACPPAT141,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT141,h,Cytosol,-1.0
ACPPAT141,pi,Cytosol,-1.0
ACPPAT141,G1G01-2027-MONOMER_mod_pan4p_mod_tde,Cytosol,-1.0
ACPPAT141,ttdceap,Cytosol,1.0
ACPPAT160,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT160,h,Cytosol,-1.0
ACPPAT160,hdcap,Cytosol,1.0
ACPPAT160,G1G01-2027-MONOMER_mod_pan4p_mod_palm,Cytosol,-1.0
ACPPAT160,pi,Cytosol,-1.0
ACPPAT161,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT161,h,Cytosol,-1.0
ACPPAT161,hdceap,Cytosol,1.0
ACPPAT161,G1G01-2027-MONOMER_mod_pan4p_mod_hde,Cytosol,-1.0
ACPPAT161,pi,Cytosol,-1.0
ACPPAT180,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT180,h,Cytosol,-1.0
ACPPAT180,G1G01-2027-MONOMER_mod_pan4p_mod_ocdca,Cytosol,-1.0
ACPPAT180,ocdcap,Cytosol,1.0
ACPPAT180,pi,Cytosol,-1.0
ACPPAT181,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPPAT181,h,Cytosol,-1.0
ACPPAT181,ocdceap,Cytosol,1.0
ACPPAT181,G1G01-2027-MONOMER_mod_pan4p_mod_octe,Cytosol,-1.0
ACPPAT181,pi,Cytosol,-1.0
ACPS1,G1G01-2027-MONOMER_mod_pan4p,Cytosol,1.0
ACPS1,G1G01-2027-MONOMER,Cytosol,-1.0
ACPS1,coa,Cytosol,-1.0
ACPS1,h,Cytosol,1.0
ACPS1,pap,Cytosol,1.0
ACS,ac,Cytosol,-1.0
ACS,accoa,Cytosol,1.0
ACS,amp,Cytosol,1.0
ACS,atp,Cytosol,-1.0
ACS,coa,Cytosol,-1.0
ACS,ppi,Cytosol,1.0
ACS2,amp,Cytosol,1.0
ACS2,atp,Cytosol,-1.0
ACS2,coa,Cytosol,-1.0
ACS2,ppa,Cytosol,-1.0
ACS2,ppcoa,Cytosol,1.0
ACS2,ppi,Cytosol,1.0
ACSERtex,acser,Extra-organism,-1.0
ACSERtex,acser,Periplasm,1.0
ACSERtpp,acser,Cytosol,-1.0
ACSERtpp,acser,Periplasm,1.0
ACSPHAC100,R_3hdcaa,Cytosol,-1.0
ACSPHAC100,R_3hdcoa,Cytosol,1.0
ACSPHAC100,amp,Cytosol,1.0
ACSPHAC100,atp,Cytosol,-1.0
ACSPHAC100,coa,Cytosol,-1.0
ACSPHAC100,ppi,Cytosol,1.0
ACSPHAC101,R3hdec4coa,Cytosol,1.0
ACSPHAC101,R3hdec4e,Cytosol,-1.0
ACSPHAC101,amp,Cytosol,1.0
ACSPHAC101,atp,Cytosol,-1.0
ACSPHAC101,coa,Cytosol,-1.0
ACSPHAC101,ppi,Cytosol,1.0
ACSPHAC120,R_3hdda,Cytosol,-1.0
ACSPHAC120,R_3hddcoa,Cytosol,1.0
ACSPHAC120,amp,Cytosol,1.0
ACSPHAC120,atp,Cytosol,-1.0
ACSPHAC120,coa,Cytosol,-1.0
ACSPHAC120,ppi,Cytosol,1.0
ACSPHAC121,R_3hcddec5ecoa,Cytosol,1.0
ACSPHAC121,R_3hdd5ea,Cytosol,-1.0
ACSPHAC121,amp,Cytosol,1.0
ACSPHAC121,atp,Cytosol,-1.0
ACSPHAC121,coa,Cytosol,-1.0
ACSPHAC121,ppi,Cytosol,1.0
ACSPHAC121d6,R_3hdd6coa,Cytosol,1.0
ACSPHAC121d6,R_3hdd6e,Cytosol,-1.0
ACSPHAC121d6,amp,Cytosol,1.0
ACSPHAC121d6,atp,Cytosol,-1.0
ACSPHAC121d6,coa,Cytosol,-1.0
ACSPHAC121d6,ppi,Cytosol,1.0
ACSPHAC140,R_3hmrscoa,Cytosol,1.0
ACSPHAC140,R_3httdca,Cytosol,-1.0
ACSPHAC140,amp,Cytosol,1.0
ACSPHAC140,atp,Cytosol,-1.0
ACSPHAC140,coa,Cytosol,-1.0
ACSPHAC140,ppi,Cytosol,1.0
ACSPHAC141,R_3hcmrs7e,Cytosol,-1.0
ACSPHAC141,R_3hcmrs7ecoa,Cytosol,1.0
ACSPHAC141,amp,Cytosol,1.0
ACSPHAC141,atp,Cytosol,-1.0
ACSPHAC141,coa,Cytosol,-1.0
ACSPHAC141,ppi,Cytosol,1.0
ACSPHAC141d5,R_3htd5coa,Cytosol,1.0
ACSPHAC141d5,R_3htd5e,Cytosol,-1.0
ACSPHAC141d5,amp,Cytosol,1.0
ACSPHAC141d5,atp,Cytosol,-1.0
ACSPHAC141d5,coa,Cytosol,-1.0
ACSPHAC141d5,ppi,Cytosol,1.0
ACSPHAC142,R_3htd58coa,Cytosol,1.0
ACSPHAC142,R_3htd58e,Cytosol,-1.0
ACSPHAC142,amp,Cytosol,1.0
ACSPHAC142,atp,Cytosol,-1.0
ACSPHAC142,coa,Cytosol,-1.0
ACSPHAC142,ppi,Cytosol,1.0
ACSPHAC160,R_3hhdca,Cytosol,-1.0
ACSPHAC160,R_3hhdcoa,Cytosol,1.0
ACSPHAC160,amp,Cytosol,1.0
ACSPHAC160,atp,Cytosol,-1.0
ACSPHAC160,coa,Cytosol,-1.0
ACSPHAC160,ppi,Cytosol,1.0
ACSPHAC40,3hbcoa__R,Cytosol,1.0
ACSPHAC40,amp,Cytosol,1.0
ACSPHAC40,atp,Cytosol,-1.0
ACSPHAC40,bhb,Cytosol,-1.0
ACSPHAC40,coa,Cytosol,-1.0
ACSPHAC40,ppi,Cytosol,1.0
ACSPHAC50,R_3hpt,Cytosol,-1.0
ACSPHAC50,R_3hptcoa,Cytosol,1.0
ACSPHAC50,amp,Cytosol,1.0
ACSPHAC50,atp,Cytosol,-1.0
ACSPHAC50,coa,Cytosol,-1.0
ACSPHAC50,ppi,Cytosol,1.0
ACSPHAC60,R_3hhcoa,Cytosol,1.0
ACSPHAC60,R_3hhxa,Cytosol,-1.0
ACSPHAC60,amp,Cytosol,1.0
ACSPHAC60,atp,Cytosol,-1.0
ACSPHAC60,coa,Cytosol,-1.0
ACSPHAC60,ppi,Cytosol,1.0
ACSPHAC70,R_3hhpa,Cytosol,-1.0
ACSPHAC70,R_3hhpcoa,Cytosol,1.0
ACSPHAC70,amp,Cytosol,1.0
ACSPHAC70,atp,Cytosol,-1.0
ACSPHAC70,coa,Cytosol,-1.0
ACSPHAC70,ppi,Cytosol,1.0
ACSPHAC80,R_3hocoa,Cytosol,1.0
ACSPHAC80,R_3hocta,Cytosol,-1.0
ACSPHAC80,amp,Cytosol,1.0
ACSPHAC80,atp,Cytosol,-1.0
ACSPHAC80,coa,Cytosol,-1.0
ACSPHAC80,ppi,Cytosol,1.0
ACSPHAC90,R_3hnonaa,Cytosol,-1.0
ACSPHAC90,R_3hnonacoa,Cytosol,1.0
ACSPHAC90,amp,Cytosol,1.0
ACSPHAC90,atp,Cytosol,-1.0
ACSPHAC90,coa,Cytosol,-1.0
ACSPHAC90,ppi,Cytosol,1.0
ACSPHACP100,R_3hpdeca,Cytosol,-1.0
ACSPHACP100,R_3hpdecacoa,Cytosol,1.0
ACSPHACP100,amp,Cytosol,1.0
ACSPHACP100,atp,Cytosol,-1.0
ACSPHACP100,coa,Cytosol,-1.0
ACSPHACP100,ppi,Cytosol,1.0
ACSPHACP40,R_3hpba,Cytosol,-1.0
ACSPHACP40,R_3hpbcoa,Cytosol,1.0
ACSPHACP40,amp,Cytosol,1.0
ACSPHACP40,atp,Cytosol,-1.0
ACSPHACP40,coa,Cytosol,-1.0
ACSPHACP40,ppi,Cytosol,1.0
ACSPHACP50,R_3hppta,Cytosol,-1.0
ACSPHACP50,R_3hpptcoa,Cytosol,1.0
ACSPHACP50,amp,Cytosol,1.0
ACSPHACP50,atp,Cytosol,-1.0
ACSPHACP50,coa,Cytosol,-1.0
ACSPHACP50,ppi,Cytosol,1.0
ACSPHACP60,R_3hphxa,Cytosol,-1.0
ACSPHACP60,R_3hphxacoa,Cytosol,1.0
ACSPHACP60,amp,Cytosol,1.0
ACSPHACP60,atp,Cytosol,-1.0
ACSPHACP60,coa,Cytosol,-1.0
ACSPHACP60,ppi,Cytosol,1.0
ACSPHACP70,R_3hphpa,Cytosol,-1.0
ACSPHACP70,R_3hphpcoa,Cytosol,1.0
ACSPHACP70,amp,Cytosol,1.0
ACSPHACP70,atp,Cytosol,-1.0
ACSPHACP70,coa,Cytosol,-1.0
ACSPHACP70,ppi,Cytosol,1.0
ACSPHACP80,R_3hpocta,Cytosol,-1.0
ACSPHACP80,R_3hpoctacoa,Cytosol,1.0
ACSPHACP80,amp,Cytosol,1.0
ACSPHACP80,atp,Cytosol,-1.0
ACSPHACP80,coa,Cytosol,-1.0
ACSPHACP80,ppi,Cytosol,1.0
ACSPHACP90,R_3hpnona,Cytosol,-1.0
ACSPHACP90,R_3hpnonacoa,Cytosol,1.0
ACSPHACP90,amp,Cytosol,1.0
ACSPHACP90,atp,Cytosol,-1.0
ACSPHACP90,coa,Cytosol,-1.0
ACSPHACP90,ppi,Cytosol,1.0
ACSPHACT40,R_3h4atba,Cytosol,-1.0
ACSPHACT40,R_3h4atbcoa,Cytosol,1.0
ACSPHACT40,amp,Cytosol,1.0
ACSPHACT40,atp,Cytosol,-1.0
ACSPHACT40,coa,Cytosol,-1.0
ACSPHACT40,ppi,Cytosol,1.0
ACSPHACT60,R_3h6atha,Cytosol,-1.0
ACSPHACT60,R_3h6athcoa,Cytosol,1.0
ACSPHACT60,amp,Cytosol,1.0
ACSPHACT60,atp,Cytosol,-1.0
ACSPHACT60,coa,Cytosol,-1.0
ACSPHACT60,ppi,Cytosol,1.0
DGUDBUTNabcpp,adp,Cytosol,1.0
DGUDBUTNabcpp,atp,Cytosol,-1.0
DGUDBUTNabcpp,dgudbutn,Cytosol,1.0
DGUDBUTNabcpp,dgudbutn,Periplasm,-1.0
DGUDBUTNabcpp,h2o,Cytosol,-1.0
DGUDBUTNabcpp,h,Cytosol,1.0
DGUDBUTNabcpp,pi,Cytosol,1.0
ALGE9,algac_MG_14,Periplasm,1.0
ALGE9,prealgac_M1,Periplasm,-1.0
ALGL,h2o,Periplasm,-4.0
ALGL,manur,Periplasm,5.0
ALGL,prealginate__M,Periplasm,-1.0
ALGL2,dmanur,Periplasm,1.0
ALGL2,h2o,Periplasm,-1.0
ALGL2,prealginate__M,Periplasm,-1.0
ALGL2,tmanur,Periplasm,1.0
ALGSex1,prealg_MG_41,Extra-organism,1.0
ALGSex1,prealg_MG_41,Periplasm,-1.0
ALGSex10,algac_MG_14,Extra-organism,1.0
ALGSex10,algac_MG_14,Periplasm,-1.0
ALGSex11,manur,Extra-organism,1.0
ALGSex11,manur,Periplasm,-1.0
ALGSex12,dmanur,Extra-organism,1.0
ALGSex12,dmanur,Periplasm,-1.0
ALGSex13,tmanur,Extra-organism,1.0
ALGSex13,tmanur,Periplasm,-1.0
ALGSex2,prealg_MG_32,Extra-organism,1.0
ALGSex2,prealg_MG_32,Periplasm,-1.0
ALGSex3,prealg_MG_23,Extra-organism,1.0
ALGSex3,prealg_MG_23,Periplasm,-1.0
ALGSex4,prealg_MG_14,Extra-organism,1.0
ALGSex4,prealg_MG_14,Periplasm,-1.0
ALGSex5,prealginate_G,Extra-organism,1.0
ALGSex5,prealginate_G,Periplasm,-1.0
ALGSex6,algac__M,Extra-organism,1.0
ALGSex6,algac__M,Periplasm,-1.0
ALGSex7,algac_MG_41,Extra-organism,1.0
ALGSex7,algac_MG_41,Periplasm,-1.0
ALGSex8,algac_MG_32,Extra-organism,1.0
ALGSex8,algac_MG_32,Periplasm,-1.0
ALGSex9,algac_MG_23,Extra-organism,1.0
ALGSex9,algac_MG_23,Periplasm,-1.0
ALLTAMH,alltt,Cytosol,-1.0
ALLTAMH,co2,Cytosol,1.0
ALLTAMH,h2o,Cytosol,-2.0
ALLTAMH,h,Cytosol,-2.0
ALLTAMH,nh4,Cytosol,2.0
ALLTAMH,urdglyc,Cytosol,1.0
ALLTN,alltn,Cytosol,-1.0
ALLTN,alltt,Cytosol,1.0
ALLTN,h2o,Cytosol,-1.0
ALLTN,h,Cytosol,1.0
ALLTNRA,alltn__R,Cytosol,-1.0
ALLTNRA,alltn,Cytosol,1.0
ALLTNt2rpp,alltn,Cytosol,1.0
ALLTNt2rpp,alltn,Periplasm,-1.0
ALLTNt2rpp,h,Cytosol,1.0
ALLTNt2rpp,h,Periplasm,-1.0
ALLTNtex,alltn,Extra-organism,-1.0
ALLTNtex,alltn,Periplasm,1.0
ALPATE160pp,2agpe160,Periplasm,1.0
