Reaction	Complexes
BACCL	ZMO1868-MONOMER
BPNT	ZMO0734-MONOMER_mod_mg2(1)
BTS5	ZMO0094-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BUTSO3abcpp	CPLX_BUTSO3abcpp-0
CAt6pp	ZMO0866-MONOMER
CBLAT	ZMO1495-MONOMER
CBPS	ZMO1618-MONOMER
CCGS	ZMO1023-MONOMER
CCP2	ZMO1136-MONOMER
CD2t3pp	ZMO0866-MONOMER
CDGR	ZMO0326-MONOMER
CDPMEK	ZMO1182-MONOMER
CFAS160E	ZMO1033-MONOMER_mod_hco3(1)
CFAS160G	ZMO1033-MONOMER_mod_hco3(1)
CFAS180E	ZMO1033-MONOMER_mod_hco3(1)
CFAS180G	ZMO1033-MONOMER_mod_hco3(1)
CHORM	ZMO0563-MONOMER
CHORS	ZMO1693-MONOMER_mod_fmnh2(1) OR ZMO1693-MONOMER_mod_fadh2(1)
CHRPL	ZMO0563-MONOMER
CLPNS_ZM	ZMO0314-MONOMER
CLt3_2pp	ZMO0547-MONOMER OR ZMO0841-MONOMER OR ZMO0866-MONOMER
CMPA	ZMO1370-MONOMER
COBALT2t3pp	ZMO0866-MONOMER
CPH4S	ZMO0818-MONOMER
CPPPGO	ZMO0951-MONOMER_mod_mn2(1)
CPPPGO2	ZMO1364-MONOMER_mod_4fe4s(1) OR ZMO0012-MONOMER
CS	ZMO1963-MONOMER
CTPS2	ZMO0462-MONOMER
CU1abcpp	ZMO0915-MONOMER
CYNTt2pp	ZMO0052-MONOMER
CYOR_Q10	CPLX_CYOR_Q10-0
CYSDS	ZMO0327-MONOMER_mod_pydx5p(1)
CYSS	ZMO0748-MONOMER_mod_pydx5p(2) OR ZMO0821-MONOMER
CYSTL	ZMO0327-MONOMER_mod_pydx5p(1)
CYSTRS	ZMO0186-MONOMER_mod_zn2(1)
CYTBDpp_Q10	CPLX_CYTBDpp_Q10-0
CYTD	ZMO0864-MONOMER
CYTK1	ZMO1797-MONOMER_mod_mg2(1)
CYTK2	ZMO1797-MONOMER_mod_mg2(1)
DADA	ZMO0971-MONOMER OR ZMO0655-MONOMER
DADK	ZMO0538-MONOMER_mod_mg2(1)
DAPDC	ZMO1768-MONOMER_mod_pydx5p(1)
DAPE	ZMO1072-MONOMER
DASYN_ZM	ZMO1151-MONOMER_mod_mg2(1)_mod_k(1)
DB4PS	ZMO0474-MONOMER_mod_mg2(1)
DBTS	ZMO1915-MONOMER_mod_mg2(1)
DCTPD	ZMO0863-MONOMER
DCYTD	ZMO0864-MONOMER
DDPA	ZMO0187-MONOMER
DGK1	ZMO0433-MONOMER_mod_mg2(1)
DHAD1	ZMO1792-MONOMER
DHAD2	ZMO1792-MONOMER
DHDPRy	ZMO0707-MONOMER
DHDPS	ZMO0720-MONOMER OR ZMO1853-MONOMER
DHFR	ZMO0321-MONOMER
DHFS	ZMO0582-MONOMER
DHNCOAT	ZMO0160-MONOMER
DHNPA2r	ZMO1059-MONOMER
DHORD10	ZMO0120-MONOMER
DHORDfum	ZMO0120-MONOMER
DHORTS	ZMO0792-MONOMER OR ZMO1689-MONOMER_mod_cobalt2(1)_mod_zn2(1) OR ZMO1689-MONOMER_mod_mn2(1)_mod_zn2(1) OR ZMO1689-MONOMER_mod_ni2(1)_mod_zn2(1)
DHPHM	ZMO1654-MONOMER_mod_zn2(1)
DHPPDA2	ZMO0476-MONOMER
DHPS2	ZMO1006-MONOMER_mod_mg2(1)
DHQS	ZMO0593-MONOMER_mod_cobalt2(1)_mod_nad(1)
DHQTi	ZMO0737-MONOMER
DMATT	ZMO0855-MONOMER_mod_mg2(1) OR ZMO0855-MONOMER_mod_mn2(1)
DMBZLM	ZMO1188-MONOMER
DMMBLHX	ZMO1703-MONOMER OR ZMO1669-MONOMER
DMPHHX	ZMO1703-MONOMER
DMPPS	ZMO0875-MONOMER
DMQ10MT	ZMO1654-MONOMER_mod_zn2(1)
DPCOAK	ZMO0040-MONOMER
DPHHX	ZMO1189-MONOMER
DPPS	ZMO0564-MONOMER_mod_mg2(1)
DPR	ZMO1141-MONOMER_mod_mg2(1)
DTMPK	ZMO1090-MONOMER
DURIK1	ZMO0552-MONOMER_mod_mg2(1)
DUTPDP	ZMO1191-MONOMER_mod_zn2(1)
DXPRIi	ZMO1150-MONOMER_mod_mn2(1) OR ZMO1150-MONOMER_mod_cobalt2(1) OR ZMO1150-MONOMER_mod_mg2(1)
DXPS	ZMO1598-MONOMER OR ZMO1234-MONOMER
E4PD	ZMO0177-MONOMER
EAR100x	ZMO1692-MONOMER
EAR100y	ZMO1692-MONOMER
EAR120x	ZMO1692-MONOMER
EAR120y	ZMO1692-MONOMER
EAR121x	ZMO1692-MONOMER
EAR121y	ZMO1692-MONOMER
EAR140x	ZMO1692-MONOMER
EAR140y	ZMO1692-MONOMER
EAR141x	ZMO1692-MONOMER
EAR141y	ZMO1692-MONOMER
EAR160x	ZMO1692-MONOMER
EAR160y	ZMO1692-MONOMER
EAR161x	ZMO1692-MONOMER
EAR161y	ZMO1692-MONOMER
EAR180x	ZMO1692-MONOMER
EAR180y	ZMO1692-MONOMER
EAR181x	ZMO1692-MONOMER
EAR181y	ZMO1692-MONOMER
EAR40x	ZMO1692-MONOMER
EAR40y	ZMO1692-MONOMER
EAR60x	ZMO1692-MONOMER
EAR60y	ZMO1692-MONOMER
EAR80x	ZMO1692-MONOMER
EAR80y	ZMO1692-MONOMER
EDA	ZMO0997-MONOMER
EDD	ZMO0368-MONOMER
EGMEACPR	ZMO1692-MONOMER
ENO	ZMO1608-MONOMER
EPMEACPR	ZMO1692-MONOMER
ETHAtpp	ZMO1378-MONOMER
ETHSO3abcpp	CPLX_BUTSO3abcpp-0
FADRx2	CPLX_FADRx2-0
FALDH2	ZMO1722-MONOMER
FBA	ZMO0179-MONOMER
FBP	ZMO0482-MONOMER_mod_mn2(1)
FCLT	ZMO0303-MONOMER
FE2abcpp	ZMO1541-MONOMER
FEROpp	ZMO1410-MONOMER OR ZMO1586-MONOMER
FFSD	ZMO0942-MONOMER
FFSDex	ZMO0375-MONOMER
FFSTex	ZMO0374-MONOMER
FLDR2	CPLX_FLDR2-0
FLVR	CPLX_FADRx2-0
FMETTRS	ZMO0811-MONOMER
FMNAT	ZMO0322-MONOMER
FMNRx2	CPLX_FADRx2-0
FNOR	ZMO1753-MONOMER_mod_fad(1)
FRUtpp	ZMO0366-MONOMER
FTHFCL	ZMO0215-MONOMER
FTHFLi	ZMO0454-MONOMER
FUM	ZMO1307-MONOMER_mod_4fe4s(1)
G15LLHpp	ZMO1649-MONOMER
G1PACT	ZMO0498-MONOMER_mod_mg2(1)
G2PP	ZMO0329-MONOMER_mod_mg2(1)
G3PAT_ZM	ZMO1900-MONOMER OR ZMO1195-MONOMER
G3PD2	ZMO1905-MONOMER
G5SD	ZMO1661-MONOMER
G6PDH2r	ZMO0367-MONOMER
G6PDH2xr	ZMO0367-MONOMER
GALM2pp	ZMO0889-MONOMER
GALUi	ZMO1767-MONOMER
GAPD	ZMO0177-MONOMER
GARFT	ZMO0708-MONOMER
GDPDPK	ZMO0086-MONOMER
GDPTPDP	ZMO0086-MONOMER
GF6PTA	ZMO0056-MONOMER
GFORpp	ZMO0689-MONOMER
GHMT2r	ZMO1201-MONOMER
GK1	ZMO0433-MONOMER_mod_mg2(1)
GLCDpp_Q10	ZMO0558-MONOMER_mod_ca2(1)_mod_pqq(1)
GLCNt2rpp	ZMO1756-MONOMER
GLCtpp	ZMO0366-MONOMER
GLNS	ZMO0493-MONOMER
GLNTRS	ZMO0782-MONOMER OR ZMO0783-MONOMER OR ZMO0784-MONOMER
GLU5K	ZMO0206-MONOMER_mod_mg2(1)
GLUCYS	ZMO1556-MONOMER
GLUN	ZMO0113-MONOMER
GLUNpp	ZMO1683-MONOMER
GLUPRT	ZMO1557-MONOMER_mod_mg2(1)
GLUR	ZMO1197-MONOMER
GLUSy	CPLX_GLUSy-0
GLUTRS	ZMO1964-MONOMER_mod_mg2(1)_mod_zn2(1) OR ZMO0900-MONOMER
GLYCK2	ZMO0059-MONOMER
GLYCLTDx	ZMO1883-MONOMER
GLYCLTDy	ZMO1883-MONOMER
GLYOX	ZMO0759-MONOMER_mod_zn2(1)
GLYTRS	CPLX_GLYTRS-0
GMPS2	ZMO1267-MONOMER
GNK	ZMO1757-MONOMER_mod_mg2(1)
GPDDA1pp	ZMO0170-MONOMER_mod_ca2(1)
GPDDA2pp	ZMO0170-MONOMER_mod_ca2(1)
GPDDA3pp	ZMO0170-MONOMER_mod_ca2(1)
GPDDA4pp	ZMO0170-MONOMER_mod_ca2(1)
GPDDA5pp	ZMO0170-MONOMER_mod_ca2(1)
GRTT	ZMO0855-MONOMER_mod_mg2(1) OR ZMO0855-MONOMER_mod_mn2(1)
