complex_id,name,genes,mod,replace
CPLX_ASPabcpp-7,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.560() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-8,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.2797() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-9,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.2797() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-10,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.2797() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-11,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.2797() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-12,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.4847() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-13,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.4847() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-14,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.4847() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-15,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.4847() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-16,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5507() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-17,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5507() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-18,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5507() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-19,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5507() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-20,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5721() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-21,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5721() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-22,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5721() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-23,L-aspartate transport via ABC system (periplasm),222.273.peg.14() AND 222.273.peg.5721() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-24,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.12() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-25,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.12() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-26,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.12() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-27,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.12() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-28,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.560() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-29,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.560() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-30,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.560() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-31,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.560() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-32,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.2797() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-33,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.2797() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-34,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.2797() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-35,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.2797() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-36,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.4847() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-37,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.4847() AND 222.273.peg.561() AND 222.273.peg.15(),,
CPLX_ASPabcpp-38,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.4847() AND 222.273.peg.644() AND 222.273.peg.15(),,
CPLX_ASPabcpp-39,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.4847() AND 222.273.peg.2935() AND 222.273.peg.15(),,
CPLX_ASPabcpp-40,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5507() AND 222.273.peg.13() AND 222.273.peg.15(),,
CPLX_ASPabcpp-41,L-aspartate transport via ABC system (periplasm),222.273.peg.562() AND 222.273.peg.5507() AND 222.273.peg.561() AND 222.273.peg.15(),,
