Reaction	Metabolites	Stoichiometry
FA120ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	-1.0
FA120ACPHi1	ddca	1.0
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	1.0
3HAD601	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)	-1.0
3HAD601	h2o	1.0
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)	1.0
3HAD1611	EG50003-MONOMER_mod_pan4p(1)_mod_3hcpalm9e(1)	-1.0
3HAD1611	h2o	1.0
FA141ACPHi1	h2o	-1.0
FA141ACPHi1	h	1.0
FA141ACPHi1	ttdcea	1.0
FA141ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_tde(1)	-1.0
FA141ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	IscU_mod_2fe2s(1)_mod_fe2(1)	-1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	EG11653-MONOMER	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	IscU_mod_2fe2s(1)_mod_fe2(2)	1.0
Fe_transfer_CyaY_mod_fe2_to_IscU(1)_mod_2Fe2S(1)_mod_fe2(1)	EG11653-MONOMER_mod_fe2(1)	-1.0
DSBDR1	RED-THIOREDOXIN-MONOMER_mod_Oxidized(1)	1.0
DSBDR1	RED-THIOREDOXIN-MONOMER	-1.0
DSBDR1	DSBD-MONOMER	1.0
DSBDR1	DSBD-MONOMER_mod_Oxidized(1)	-1.0
DSBDR2	RED-THIOREDOXIN2-MONOMER	-1.0
DSBDR2	DSBD-MONOMER	1.0
DSBDR2	RED-THIOREDOXIN2-MONOMER_mod_Oxidized(1)	1.0
DSBDR2	DSBD-MONOMER_mod_Oxidized(1)	-1.0
OPMEACPR1	nadp	1.0
OPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_opme(1)	-1.0
OPMEACPR1	h	-1.0
OPMEACPR1	nadph	-1.0
OPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_hpme(1)	1.0
EAR60x1	nadh	-1.0
EAR60x1	EG50003-MONOMER_mod_pan4p(1)_mod_thex2e(1)	-1.0
EAR60x1	h	-1.0
EAR60x1	EG50003-MONOMER_mod_pan4p(1)_mod_hex(1)	1.0
EAR60x1	nad	1.0
EPMEACPR1	nadp	1.0
EPMEACPR1	h	-1.0
EPMEACPR1	nadph	-1.0
EPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_pme(1)	1.0
EPMEACPR1	EG50003-MONOMER_mod_pan4p(1)_mod_epme(1)	-1.0
EAR160y1	nadp	1.0
EAR160y1	h	-1.0
EAR160y1	nadph	-1.0
EAR160y1	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	-1.0
EAR160y1	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	1.0
SCYSDS1	cys_DASH_L	-1.0
SCYSDS1	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	-1.0
SCYSDS1	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	1.0
SCYSDS1	ala_DASH_L	1.0
AACPS91	ppi	1.0
AACPS91	octa	-1.0
AACPS91	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	1.0
AACPS91	atp	-1.0
AACPS91	amp	1.0
AACPS91	EG50003-MONOMER_mod_pan4p(1)	-1.0
EAR120x1	nadh	-1.0
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_tddec2e(1)	-1.0
EAR120x1	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)	1.0
EAR120x1	nad	1.0
EAR120x1	h	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-1341_mod_2fe1s(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1)	-1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-246_CPLX0-1342_mod_pydx5p(1)	1.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	h	4.0
S_transfer_to_SufBCD_mod_2Fe1S(1)	CPLX0-1341_mod_2fe2s(1)	1.0
AGPAT1601	1hdecg3p	-1.0
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)_mod_palm(1)	-1.0
AGPAT1601	pa160	1.0
AGPAT1601	EG50003-MONOMER_mod_pan4p(1)	1.0
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)	-1.0
3HAD1601	EG50003-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)	1.0
3HAD1601	h2o	1.0
G3PAT1801	glyc3p	-1.0
G3PAT1801	EG50003-MONOMER_mod_pan4p(1)	1.0
G3PAT1801	1odecg3p	1.0
G3PAT1801	EG50003-MONOMER_mod_pan4p(1)_mod_ocdca(1)	-1.0
FA80ACPHi1	h2o	-1.0
FA80ACPHi1	h	1.0
FA80ACPHi1	octa	1.0
FA80ACPHi1	EG50003-MONOMER_mod_pan4p(1)_mod_oc(1)	-1.0
FA80ACPHi1	EG50003-MONOMER_mod_pan4p(1)	1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	atp	-1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	fe2	-1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	CPLX0-1341_mod_2fe2s(1)_mod_fe2(1)	1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	CPLX0-1341_mod_2fe2s(1)	-1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	pi	1.0
SufBCD_mod_2Fe2Satp_mediated_FE_loading(1)	adp	1.0
SufBCD_2:2fe2s_to_SufBCD_1:4fe4s	CPLX0-1341_mod_4fe4s(1)	1.0
SufBCD_2:2fe2s_to_SufBCD_1:4fe4s	CPLX0-1341_mod_2fe2s(2)	-1.0
PAPSR21	h	2.0
PAPSR21	paps	-1.0
PAPSR21	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	1.0
PAPSR21	so3	1.0
PAPSR21	pap	1.0
PAPSR21	GLUTAREDOXIN-MONOMER	-1.0
PAPSR22	GRXB-MONOMER_mod_Oxidized(1)	1.0
PAPSR22	h	2.0
PAPSR22	paps	-1.0
PAPSR22	GRXB-MONOMER	-1.0
PAPSR22	so3	1.0
PAPSR22	pap	1.0
DSBAO11	DISULFOXRED-MONOMER_mod_Oxidized(1)	1.0
DSBAO11	DISULFOXRED-MONOMER	-1.0
DSBAO11	q8	-1.0
DSBAO11	q8h2	1.0
RNDR2b1	dgdp	1.0
RNDR2b1	h2o	1.0
RNDR2b1	gdp	-1.0
RNDR2b1	GLUTAREDOXIN-MONOMER	-1.0
RNDR2b1	GLUTAREDOXIN-MONOMER_mod_Oxidized(1)	1.0
RNDR2b3	dgdp	1.0
RNDR2b3	CPLX0-7817_mod_Oxidized(1)	1.0
RNDR2b3	CPLX0-7817	-1.0
RNDR2b3	gdp	-1.0
RNDR2b3	h2o	1.0
RNDR2b2	dgdp	1.0
RNDR2b2	h2o	1.0
RNDR2b2	GRXB-MONOMER_mod_Oxidized(1)	1.0
RNDR2b2	GRXB-MONOMER	-1.0
RNDR2b2	gdp	-1.0
RNDR2b4	dgdp	1.0
RNDR2b4	h2o	1.0
RNDR2b4	gdp	-1.0
RNDR2b4	GRXC-MONOMER	-1.0
RNDR2b4	GRXC-MONOMER_mod_Oxidized(1)	1.0
4Fe4S_to_ErpA_by_IscU	CPLX-7524_mod_mn2(1)	-1.0
4Fe4S_to_ErpA_by_IscU	pi	1.0
4Fe4S_to_ErpA_by_IscU	CPLX-7524_mod_mn2(1)_mod_4fe4s(1)	1.0
4Fe4S_to_ErpA_by_IscU	IscU	1.0
4Fe4S_to_ErpA_by_IscU	IscU_mod_4fe4s(1)	-1.0
4Fe4S_to_ErpA_by_IscU	atp	-1.0
4Fe4S_to_ErpA_by_IscU	adp	1.0
AGPAT1611	EG50003-MONOMER_mod_pan4p(1)_mod_hde(1)	-1.0
AGPAT1611	EG50003-MONOMER_mod_pan4p(1)	1.0
AGPAT1611	1hdec9eg3p	-1.0
AGPAT1611	pa161	1.0
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_mal(1)	-1.0
3OAS1211	h	-1.0
3OAS1211	co2	1.0
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_cdec3e(1)	-1.0
3OAS1211	EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)	1.0
3OAS1211	EG50003-MONOMER_mod_pan4p(1)	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_fe2(2)	IscU_mod_2fe2s(1)_mod_2fe1s(1)	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_fe2(2)	IscS_mod_pydx5p(2)	1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_fe2(2)	IscU_mod_2fe2s(1)_mod_fe2(2)	-1.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_fe2(2)	h	4.0
S_transfer_to_IscU_mod_2Fe2S(1)_mod_fe2(2)	IscS_mod_pydx5p(2)_mod_SH(1)	-1.0
G3PAT1811	EG50003-MONOMER_mod_pan4p(1)_mod_octe(1)	-1.0
G3PAT1811	EG50003-MONOMER_mod_pan4p(1)	1.0
G3PAT1811	glyc3p	-1.0
G3PAT1811	1odec11eg3p	1.0
Cs_cyto_import	cs	-1.0
Cs_cyto_import	h	1.0
Cs_cyto_import	cs	1.0
Cs_cyto_import	h	-1.0
RNTR1c21	FLAVODOXIN1-MONOMER	-2.0
RNTR1c21	h	-2.0
RNTR1c21	FLAVODOXIN1-MONOMER_mod_Oxidized(1)	2.0
RNTR1c21	atp	-1.0
RNTR1c21	datp	1.0
RNTR1c21	h2o	1.0
RNTR1c22	h	-2.0
