Transcription-Units	Genes of transcription unit	Direction
TU0-7561	EG11610 // EG11609	+
TU0-8792	EG11741	-
TU00269	EG12933 // EG12101 // EG12102	+
TU0-4204	G6093	+
TU0-8729	EG12850	-
TU0-13595	G7210	-
TU0-14050	EG11471	+
TU0-14308	G7721	+
TU0-13537	G7144 // EG12025	+
TU00301	EG12427 // EG10002 // EG10152	+
TU784	EG11738	-
TU0-12906	G6215	-
TU00241	EG10086 // EG10085	+
TU0-14344	EG12330	-
TU00434	EG10920 // EG10239 // EG10896	+
TU0-13968	EG12249	+
TU0-14269	EG11249 // EG10571 // EG10835	-
TU876	EG11030 // EG11871 // M004 // EG10204	-
TU0-1002	G6940 // G6941 // G6942 // G6943 // G6944	-
TU0-4904	G6966 // EG10367	+
TU587	EG11821 // EG12191	+
TU0-1193	EG10828 // EG10242	-
TU0-13736	G7450 // G7449 // G7448	-
TU0-2042	EG10369	-
TU0-13934	G7752	-
TU0-2661	EG12153	-
TU0-45167	G7262	-
TU0-8508	G0-8865	+
TU-8397	EG10415	-
TU0-45195	EG12194 // EG12193	-
TU0-14527	EG11014 // EG10943	-
TU0-13147	G6583 // G6582	-
TU0-1601	G7675 // G7676 // G7677 // G436 // EG10637	-
TU0-13177	G6625	+
TU0-7744	G7120 // G7122	-
TU0-13311	G6814	+
TU0-44224	EG11031	+
TU0-8084	EG10097	-
TU0-4242	G7537	-
TU0-8741	EG11785	-
TU0-13117	G6534 // G6533 // G0-10531	-
TU0-8772	EG10122	-
TU0-13551	G7148	+
TU00031	EG10394	+
TU0-7221	G6195	-
TU0-13579	G7184	+
TU0-12915	EG12159	+
TU00253	EG11217 // EG11218 // EG10730 // EG10145	+
TU0-8713	G6976	-
TU00282	EG11400 // EG11399 // EG11398	-
TU0-14291	EG11680 // G7665 // G7664 // G7663	+
TU0-14027	EG11727	+
TU0-13518	EG10611	-
TU0-14323	G7921	-
TU0-4928	EG12380	+
TU68	EG20253	+
TU00225	EG10993 // EG10512	-
TU801	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758	+
TU0-13948	EG10847	+
TU00410	EG10309	+
TU0-14243	G6743	+
TU0-1123	EG11598 // EG11597 // EG11666 // EG11596 // EG11595	+
TU0-8514	G0-8861	-
TU-8421	EG10740	-
TU525	G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG11270	+
TU0-2441	EG12202	-
TU0-1802	EG12344	-
TU0-13712	G7403	+
TU0-13917	EG11663	-
TU0-45179	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-13318	G6822 // G0-10452	+
TU0-45142	EG11236	+
TU0-14819	EG11699	-
TU0-13160	G6604	+
TU0-13129	EG11117	-
TU0-14496	G6879	-
TU0-44208	G7901	+
TU0-7822	G6439	-
TU00037	EG10533 // EG11491	+
TU0-7461	EG11387	+
TU0-13101	G6498	-
TU0-8754	G7558	+
TU0-8725	G7110	+
TU0-41793	G6786	-
TU0-7002	EG10895 // EG10894	+
TU0-13563	EG11142 // G7156 // G7155 // G7153 // G7152	-
TU0-14033	EG11733 // EG11732	-
TU0-13531	EG12019	-
TU0-8696	G6672	+
TU00265	EG10272 // EG10271	-
TU00237	EG10041 // EG10042	+
TU0-12888	G6180	-
TU0-13501	G7112 // G7111	-
TU0-14304	EG12028	+
TU00417	G0-8893 // EG10241 // EG10240	+
TU0-14258	EG12108	-
TU00208	EG11313	-
TU743	EG10862 // EG10892	+
TU582	EG11620	-
TU0-4681	EG12152	+
TU0-14225	EG11335 // EG11296	+
TU0-13964	EG12241 // EG12240	+
TU0-13719	G7410	-
TU0-13930	G7744	+
TU483	EG10247 // EG10693 // EG10832 // EG10270 // EG10857	-
TU-8441	G7866	-
TU-8392	EG10762 // EG10830 // EG11070	-
TU0-8491	EG12230	+
TU0-13899	G7683	+
TU0-2	EG10831	+
TU0-14506	G6283	+
TU0-1548	G6623	-
TU0-14794	EG10415	-
TU0-45163	EG10804	+
TU0-44220	G6383	+
TU0-13293	G6792	-
TU0-4405	G7345	-
TU0-13142	G6577 // G6576	+
TU0-4184	EG10316	+
TU0-13113	EG12196	+
TU0-13083	EG10028	-
TU0-7701	G7949	-
TU0-7181	G0-10201	-
TU00015	EG10155	-
TU0-6823	EG10167	+
TU0-8737	G7257	-
TU0-12894	G6189 // G6188	+
TU0-8708	G6868	-
TU0-8679	G6494	+
TU0-13547	EG12035	+
TU0-13514	G7139 // G7138	+
TU0-14011	EG11690	-
TU0-13483	G7086 // G7085 // G7084 // G7083 // G7082 // G7081	+
TU00249	EG12402 // EG12403	+
TU0-4761	G0-8785	-
TU00221	EG10553	-
TU00192	EG10408	-
TU0-14286	G7610 // G7609	+
TU0-14239	EG12034	+
TU00394	EG11554	-
TU0-14208	G7941 // EG10021	-
TU65	G7072	-
TU0-8497	G0-9606	+
TU521	EG11249 // EG10571 // EG10835	-
TU365	EG10736	+
TU0-13944	EG12217	+
TU0-13911	EG11970 // EG11969	-
TU0-13694	G7368 // G7367	+
TU0-13883	EG50011 // EG11553	-
TU-8412	G0-9383 // EG12663 // EG12662 // EG12661 // G6359	-
TU0-13300	G6806	+
TU0-14814	EG10703	-
TU0-14765	EG12880 // G7354	+
TU0-1762	EG10680	+
TU0-44204	EG13236	+
TU0-14473	EG11042 // EG12870 // G6659	+
TU0-42690	EG11845 // EG11846 // EG11847	-
TU0-4483	EG11827	+
TU00021	EG11311 // EG10317	+
TU0-13096	G6486	+
TU0-13067	EG10223	-
TU0-13125	EG11343	-
TU0-6982	EG12203	-
TU0-3941	EG10342	+
TU0-6649	EG10389 // EG10388 // EG10386	-
TU0-7361	G6938	-
TU0-14017	EG11536	-
TU0-8691	EG12405	+
TU0-8660	G7696	+
TU0-8721	EG12200	+
TU0-13495	G7091	-
TU0-12872	G6150 // G6149	-
TU0-13463	G7051 // EG12710	-
TU0-13527	EG12008	+
TU00400	EG10462	-
TU00204	EG10960 // EG10959	-
TU00176	EG11415	-
TU00233	EG11703 // EG11704	-
TU0-14220	G7953	-
TU0-45280	EG10441	+
TU0-14191	EG12548	-
TU0-14253	EG11081 // EG11080 // EG10548	+
TU0-13700	G7382	-
TU443	EG50003 // EG11318	+
TU341	EG10743 // EG10914 // EG11177 // EG11178 // EG10505 // EG10665 // EG11179 // EG30061	-
TU562	G6492 // G6491 // G6490	+
TU0-13895	G7678	-
TU0-8474	EG10914	-
TU0-13867	G7618	+
TU0-13926	EG12113	-
TU0-14486	EG30070 // EG30077 // EG30008 // EG30043 // EG30084	+
TU0-14787	EG11866	-
TU0-14738	G0-10642	+
TU-8388	EG10825	-
TU0-4343	EG10626 // EG10936 // EG11087	+
TU0-13275	G6766	+
TU0-42642	G7347 // G7348 // EG12341 // EG11897	-
TU0-1544	G6562 // G369	-
TU0-4141	EG11070	-
TU0-13079	EG12690 // G6465	+
TU0-13050	EG12406 // G6412 // G6411 // G6410 // G6409	-
TU0-44215	EG10962	-
TU0-6687	EG11067	-
TU0-964	EG12440	+
TU0-6582	G7630	-
TU0-13109	G6509 // G0-10430 // G0-10536	+
TU0-12878	G6163 // G6162 // G6161 // G6160	-
TU0-8674	G6467	-
TU0-8643	G6997	-
TU0-7161	G0-16662 // EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341	-
TU0-13478	G7073	-
TU0-13996	EG12294	-
TU0-13444	EG10071	+
TU0-8704	EG11639	-
TU0-45287	G0-8897	+
TU00188	EG10628	-
TU00160	EG10095	-
TU0-13510	G7133	-
TU0-14204	G7934	+
TU00378	EG10701 // EG11258	-
TU0-14172	G7882	+
TU00216	EG10399 // EG10401	-
TU0-8480	EG12332	+
TU359	EG12177	-
TU21	EG12854 // EG10684 // EG11008	+
TU0-14233	G7547	-
TU0-13879	G7654	+
TU0-13675	EG12098 // EG12097	-
TU0-13850	EG10254	+
TU5	G6719 // G6718 // G6717 // G6716 // G6715 // G6714 // G6713 // G6712 // G6711 // G6710 // G6709	+
TU0-13283	G6773 // G6772 // G6771	-
TU0-14761	EG11385 // EG11384	+
TU0-14696	EG10863	-
TU0-13907	G7695	+
TU0-42684	EG11223	+
TU0-14452	G7107 // G7105 // G7106	-
TU0-42602	EG11647	+
TU0-14805	EG10432	-
TU00005	EG10067	-
TU0-13063	G6432 // G6431 // G6430 // G6429 // EG12407	+
TU0-13034	G6390 // G6389	+
TU0-44200	G7727	+
TU0-6636	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099	-
TU0-36432	EG11680 // G7665 // G7664 // G7663	+
TU0-6513	EG10926	+
TU0-13091	G6475 // G6474	+
TU0-14001	EG11192	+
TU0-8656	G7559	-
TU0-8626	G7936	-
TU0-6921	EG12100 // EG11797	+
TU0-13458	G7043	-
TU0-12854	G6118 // G6117 // G6116	+
TU0-13428	G7008	+
TU0-8687	G6614	+
TU00384	EG10701	-
TU00172	EG10389 // EG10388 // EG10386	-
TU00143	EG11421	-
TU0-13491	G7088	-
TU0-14186	G0-10567 // G7905	-
TU0-45264	EG11090 // EG12334 // EG12333	-
TU0-14156	G7852	-
TU00200	EG11078 // EG10652	+
TU0-13682	EG12442	+
TU301	EG13159 // G85	-
TU00527	EG10804	+
TU0-14217	EG12114	+
TU0-13863	G7614 // G7613 // G7612 // G7611	+
TU0-8365	EG12257 // EG12258 // EG12259 // EG12260	-
TU0-13832	G7572 // G7571	-
TU423	G6440	+
TU0-14463	EG10636	-
TU0-14719	EG12242	-
TU0-14675	G6897 // G6898 // G6899 // G6900 // G6901 // G6902	-
TU0-13891	G7669	-
TU0-42630	G0-10699	+
TU0-13258	G6738	+
TU0-42578	EG10362	-
TU0-14783	EG12079 // EG11519 // EG12078 // EG12077 // EG12076 // EG12075	+
TU0-36442	EG10224	+
TU0-13046	EG11238	-
TU0-13016	G6361 // EG10168	-
TU0-4284	EG11569	-
TU0-6563	EG10976	+
TU0-8863	EG10090	+
TU0-6482	EG10096	-
TU0-13075	EG10754 // G6455 // G6454	-
TU0-12862	G6131 // G6130	+
TU0-8639	G6843	-
TU0-8609	EG11938	+
TU0-6661	RUVB // RUVA	-
TU0-13440	EG10803	+
TU0-13980	EG12272	+
TU0-13412	G6989	+
TU0-8670	G6459	+
TU0-45270	EG10258	-
TU00156	EG10643 // EG10646	-
TU00127	EG10252 // EG10253	+
TU0-13472	G7064	+
TU0-14168	EG50008	+
TU00361	EG10978 // EG10977	-
TU0-14137	G7829 // G7828	+
TU00184	EG10536 // EG10537 // EG10541 // EG10538 // EG10540	-
TU0-8380	EG10544	+
TU163	EG10269 // EG10672	-
TU00510	EG30097	-
TU0-14200	G7929	-
TU0-13845	G0-8913	-
TU0-13657	G7327	-
TU0-13816	G7549	-
TU354	EG10061	-
TU0-13265	G6746	+
TU0-14691	G7158 // G7159 // G7160 // G7161	-
TU0-14652	EG10510	-
TU0-13875	G7645	-
TU0-42595	EG10586	+
TU0-14417	EG10629	+
TU0-42551	G7961	+
TU0-14749	EG12738	+
TU0-8872	EG11257	+
TU0-13030	EG11524	+
TU0-13000	G6346 // G6345	+
TU0-42668	G6550 // G6549	+
TU0-6509	EG10544	+
TU0-36411	EG11125	-
TU0-6401	EG10326	+
TU0-13059	G6421 // G6420	+
TU0-13986	EG12291 // EG12290	-
TU0-8622	G7902	-
TU0-8592	EG12289	+
TU0-6630	EG11796 // EG10951	-
TU0-13423	G7001	-
TU0-12837	EG11502 // EG11503	-
TU0-13394	G6963 // G6962 // G6961 // G6960 // G6959 // G6958	-
TU0-8651	G7344	+
TU00367	EG11110 // EG11010 // EG11011 // EG11007	+
TU00139	EG10457	-
TU00111	EG10066	-
TU0-13453	G7038 // G7037 // EG12347	-
TU0-14152	G7844	+
TU0-45249	EG12008	+
TU0-14120	EG10001	+
TU00168	EG10594 // EG10592 // EG10593	-
TU0-13663	G7342 // G7341 // G7340	-
TU00522	EG11088 // EG10024 // EG10025 // EG10543	+
TU00494	EG30067	+
TU0-14182	G7898	-
TU0-13828	EG11376	-
TU0-8345	EG10301 // EG10487 // EG10486 // EG10485 // EG10484	+
TU0-13798	G7518	-
TU263	EG11828 // EG11829	-
TU0-14425	G0-9381	-
TU0-14671	EG12176	-
TU0-14634	EG10097	-
TU0-13858	G7606	+
TU0-42572	G0-16600	+
TU0-13240	G6700	-
TU0-42526	G6984	-
TU0-14715	G7264 // G7263	+
TU0-36419	EG10735 // EG10783	-
TU0-13012	G6356 // G6355	+
TU0-12982	G6315	+
TU0-42620	G0-10699	+
TU0-6442	EG10695	-
TU0-8837	EG10507	-
TU0-5964	EG10946	+
TU0-13042	G6399	+
TU0-12843	EG10243	+
TU0-8605	EG11462	-
TU0-8575	G7648	-
TU0-6556	EG10695	-
TU0-13409	G6985	-
TU00344	EG10899 // EG10966 // EG10967 // EG10829	+
TU0-13377	G6925	-
TU0-8635	G6587	+
TU0-45254	EG10025 // EG10024	+
TU00123	EG10558 // EG10528 // EG10559	+
TU00094	EG10790	+
TU0-13436	EG11806	-
TU0-14132	EG10711	-
TU0-13639	EG12410	-
TU0-14101	G0-9388	-
TU00152	EG10285	-
TU0-8352	G6557	-
TU00506	EG30053	+
TU00478	EG11182	-
TU0-14164	G7873	-
TU0-13811	G7536 // G7535	-
TU0-14396	EG10164	+
TU0-13780	G7496	+
TU141	G6088	+
TU0-13248	EG11309	+
TU0-14648	G7321	-
TU0-14613	EG11256	+
TU0-13841	G7582	+
TU0-42545	G0-10472 // G7830	+
TU0-12819	EG12329	+
TU0-42503	EG30100	+
TU0-14683	EG10145	+
TU0-8843	G0-9602	-
TU0-12996	G6337	-
TU0-12964	EG12708	-
TU0-42590	EG10835	-
TU0-6301	EG11580 // EG11357	+
TU0-3501	EG10070	+
TU0-5568	G7533 // G7532 // EG10627	+
TU0-13026	EG11522 // EG10848	+
TU00351	EG10880 // EG11023 // EG11153 // EG10915	-
TU0-8588	EG12246	-
TU0-8558	EG12692	-
TU0-6505	EG11836	+
TU0-13390	G6956	-
TU0-45233	EG11699	-
TU0-13361	G6895	+
TU0-8617	G7885	+
TU0-13646	G7313	-
TU00107	EG10489	+
TU00078	EG10189 // EG10190 // EG10191	-
TU0-1342	G7071	-
TU0-14116	EG11928	+
TU0-8326	G7075	+
TU0-14076	EG11869	+
TU00135	EG10351 // EG10348	-
TU0-14405	EG11551	-
TU00490	EG30104	+
TU00461	EG10049	+
TU0-14147	EG12475	+
TU0-13792	EG11323 // EG10697 // EG11324 // EG11333	-
TU0-13223	G6674	+
TU0-13763	G7472	+
TU00518	EG30050	-
TU0-3602	G6200 // G6199 // G6198 // G6196	+
TU0-13530	EG12016	-
TU0-14630	EG10804	+
TU0-14562	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281	+
TU0-13824	G7565	+
TU00236	EG11757 // EG11758 // EG11363 // EG11281 // EG10595 // EG10438 // EG10437 // EG10436 // EG10435	+
TU0-42518	EG12428	+
TU0-8821	EG10612	+
TU0-42478	EG11575 // EG11576 // EG11577 // EG11226 // EG11280	-
TU0-14665	EG10334	+
TU0-12825	EG12336	-
TU0-14257	EG10440 // EG10710 // EG10709 // EG11272 // EG10881 // EG11231 // EG10506 // EG11001	-
TU0-12978	G0-10436	+
TU0-12944	G6255	+
TU0-42566	G7147	+
TU581	G6619	-
TU0-5881	EG11476 // EG11474 // EG11473	+
TU00325	EG10768 // EG10767	+
TU0-52570	G0-17100	-
TU0-13008	EG10201	-
TU0-45239	EG10699	+
TU0-13929	G7743 // G7742	+
TU0-8571	EG11171	-
TU0-8542	G0-10431	+
TU0-6423	EG10853	+
TU-8391	G7352	+
TU0-13373	EG10076 // EG11234 // G6917	+
TU0-13622	EG10003	+
TU0-13344	G6860	+
TU0-8600	EG11719	+
TU0-8334	G6422	-
TU0-1547	EG10151 // EG10150 // EG10147 // EG10148 // EG10987 // EG10988	-
TU00090	EG10495	+
TU00062	EG10823	-
TU0-13404	G6977	+
TU0-44219	G7146	+
TU0-14093	EG11913	-
TU0-14374	EG11359 // EG12173 // G7711 // G7710 // G7709 // G7708 // G7707 // G7706 // G7705 // G7704 // G7703 // G7702	+
TU0-14060	EG11835	+
TU00119	EG10164	+
TU0-13230	G6680	-
TU0-13112	G6514	-
TU00474	EG10384	-
TU00444	EG11044 // EG10794 // EG10169	-
TU0-14128	EG11954 // EG11953 // EG11952	-
TU0-7164	EG10520	+
TU0-13776	G7492	+
TU0-12802	EG12611 // EG12610	+
TU0-13745	EG12081 // EG11156 // EG11155 // EG11154 // EG10825	-
TU00502	EG30046	+
TU0-8827	EG11637	-
TU0-8707	G6863	-
TU0-1461	EG20044	-
TU0-14537	EG10222 // EG10220 // EG10219	+
TU0-13807	G7531 // G7530 // G7529 // G7528 // G7527	+
TU0-13513	G7137	-
TU0-42497	EG11362 // EG10230	-
TU0-3341	G7596	+
TU0-42458	EG11447	-
TU0-14644	EG11797	+
TU00332	EG10270 // EG10857	-
TU00220	EG11029	+
TU0-12960	EG11770 // G6271 // EG11769 // EG10849	+
TU0-12926	EG12183	-
TU0-42538	EG12606	+
TU0-14238	G0-10511	-
TU0-5561	EG10664 // G7533 // G7532 // EG10627	+
TU0-45219	G0-16685 // G7923	+
TU0-5041	EG20249	+
TU0-12992	G6330	-
TU0-13628	G7272	+
TU503	EG11531	+
TU0-8554	G6229	+
TU0-8524	G6259	+
TU0-6184	G0-8867	+
TU0-13910	G0-10465	-
TU0-13357	G6887	-
TU0-8244	EG11136	+
TU0-13327	EG10228 // G6835 // G6834	-
TU0-8584	EG12213	-
TU0-14385	G7776	+
TU0-14813	EG10699	+
TU00074	EG11384 // EG11385	+
TU00046	EG10653 // EG10655 // EG10654 // EG10188	+
TU0-13385	G6935	-
TU0-44203	EG13236	+
TU0-14072	EG11855	+
TU0-13203	G6640	-
TU0-14043	EG11465 // EG11464	-
TU00103	EG10979 // EG10980 // EG10981 // EG10982	+
TU0-12809	EG10265	+
TU0-13095	EG12397 // G6485 // G6484 // G6483 // G6482 // G6481	+
TU00456	EG10957	+
TU00427	EG10897	-
TU0-14112	EG11926 // EG11925 // EG11924	+
TU0-6981	G6825	-
TU0-13759	G7466	+
TU0-8802	EG10374	-
TU0-13728	G7434 // G7433 // G7432	+
TU00486	EG10820	+
TU0-3422	EG10834 // EG11100	+
TU0-8690	EG12404	-
TU0-14555	EG11187	+
TU0-14518	EG12399	-
TU0-13788	G7510 // G7509	-
TU0-13494	G7090	-
TU0-42472	G7350	+
TU0-13602	G7222	+
TU0-4202	EG10427	+
TU0-14622	EG10859	-
TU0-45224	G6548 // G6547 // EG11489	+
TU00203	EG10774	-
TU0-12940	G6252	-
TU0-12905	G6214	-
TU0-42514	EG11276	+
TU0-1422	EG10347 // EG10339	+
TU0-5186	EG10048 // EG10047 // EG10523	-
TU0-14351	G6889	+
TU0-4903	EG11495	+
TU0-12973	G6300	+
TU0-13213	G6657	+
TU442	EG50003 // EG11318 // EG11317	+
TU0-8538	G8202	-
TU0-8506	EG10889	+
TU0-5761	G0-8914	+
TU0-13894	G7674	+
TU0-13340	G6853	-
TU0-1222	EG12099	+
TU0-13310	EG12345	+
TU0-8566	G6408	+
TU0-8811	EG10488	+
TU0-14786	EG11942	-
TU00058	EG10798 // EG10799	+
TU00030	EG10391 // EG10392 // EG10393	+
TU0-13369	G6914	+
TU0-4288	EG10491	-
TU0-14055	EG10334	+
TU0-2742	EG12189	+
TU0-14026	EG11726	+
TU00086	EG10729	-
TU00313	EG11746 // EG11675	-
TU0-13078	EG11032	-
TU00439	EG12129 // EG11332	-
TU00409	EG10309	+
TU0-14089	EG11902	+
TU0-6686	EG11063 // EG11140	-
TU0-13741	G7455 // G7454	+
TU0-45201	G6543 // G6544 // G6545 // G6546	-
TU0-13711	G7400	+
TU00470	EG10380 // EG10377 // EG10379	-
TU0-13611	G0-8906	-
TU0-8673	EG12702	+
TU0-14532	EG10610 // EG10609	-
TU0-14495	EG12314	-
TU0-13771	G7484	-
TU0-13477	G7070	-
TU0-42454	EG10050	+
TU0-13183	EG12119	-
TU0-41778	G6755 // G6752 // G6753 // G6754 // G6751	+
TU0-14576	EG12179	+
TU00310	EG12093 // EG11773 // EG12092 // EG12091 // EG12090 // EG12089 // EG12088 // EG12087 // EG11774 // EG12086 // EG12084 // EG12083 // EG12082	-
TU00187	EG10557	-
TU0-12920	EG12874	-
TU0-12887	G6178 // G6177 // G6176	+
TU0-42491	G7942	-
TU0-14203	EG12576 // G7933	-
TU0-5	EG11318 // EG11317 // EG10277 // EG11437	+
TU0-8147	G6764	-
TU0-4642	G7017	-
TU0-12955	G6263	+
TU0-13608	G7234	-
TU358	EG10174 // EG10173	+
TU0-8519	G0-8875	-
TU0-8490	EG11549	+
TU0-5501	EG10068	+
TU0-13878	G7653 // G7652	+
TU0-13323	EG11129	-
TU0-8780	G6510	-
TU0-13292	G6788	-
TU0-8550	G6222	+
TU0-14357	G6463	+
TU0-14759	EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757	+
TU00042	EG10587	+
TU00014	EG10155	-
TU0-13353	G6878	+
TU0-42682	EG11849	+
TU0-14039	EG11458 // EG11457 // G7800 // EG11486 // EG11456 // EG11455 // EG11454 // EG11453 // EG11452 // EG11451 // EG11295 // EG10840	+
TU0-13585	G7191	-
TU0-14010	EG11689	-
TU00070	EG11062	+
TU0-12788	EG10011	-
TU0-13062	G6427 // G6426	-
TU00423	EG12311 // EG11328 // EG12130 // EG12131	-
TU00393	EG11554	-
TU0-14068	EG11847 // EG11846 // EG11845	-
TU0-6635	EG10100 // EG10101 // EG10104 // EG10098 // EG10105 // EG10103 // EG10102 // EG10099	-
TU0-13724	EG12707	-
TU00288	EG10468 // EG10469 // EG10470 // EG10471 // EG10472 // EG10473	+
TU0-13693	G7364	-
TU00452	EG11336	+
TU0-3122	G6260	-
TU0-8654	G7523	-
TU0-14513	EG10131	-
TU0-14472	EG11128 // EG10809 // EG12691 // G6637	+
TU0-13755	EG12361	-
TU0-13457	G7040	+
TU0-41901	EG10935	-
TU0-14330	G0-8893	+
TU0-3901	EG11508	-
TU0-14550	EG10780 // EG10779 // EG10778 // EG10777	+
TU0-45207	EG10773 // EG10772 // EG10771	+
TU00171	EG11795	-
TU0-12901	G6207	+
TU0-12871	G6148	-
TU0-42467	EG10935	-
TU0-14185	G7904	+
TU0-4822	G0-8874	+
TU863	G6633 // EG11608	-
TU0-45279	EG11495	+
TU0-12936	G6247	+
TU0-8182	G6891	+
TU3	EG11024 // EG11025 // EG11026	-
TU0-8502	G7846 // G7845 // EG11259 // EG11212	+
TU0-8473	G6877	+
TU0-5163	G7855	-
TU0-13861	G7608	-
TU0-13305	G6812	+
TU0-1182	EG30071 // EG30078 // EG30032 // EG30085	+
TU0-13274	G6765	+
TU0-8534	EG11060	+
TU0-13188	EG11607	-
TU0-14718	EG12242	-
TU00026	EG11698 // EG10363 // EG10366 // EG10362	-
TU0-963	EG12440	+
TU0-13335	G6842 // G6841	+
TU0-42628	G7656 // EG11499 // EG50002 // EG50001	-
TU0-14021	EG10997	+
TU0-2503	EG11013	+
TU0-13995	EG10937 // EG20091	-
TU00054	EG11314 // EG11345	-
TU0-8788	G7047	-
TU0-13045	EG12875	-
TU00405	EG11509	+
TU00377	EG10701 // EG11258	-
TU0-14051	EG11472	+
TU0-6562	EG10770	-
TU0-13705	G7389	+
TU0-45185	G0-8878	+
TU0-13674	EG10522	-
TU00435	EG10920 // EG10239 // EG10896	+
TU0-13591	EG10327 // EG10218	-
TU0-8638	G6763	+
TU0-14491	G7531 // G7530	+
TU0-14451	G6456 // G6457	-
TU0-13737	G7451	-
TU0-13439	EG12860	+
TU0-41673	G6570	+
TU0-13167	G6612 // G6611	-
TU0-36431	EG11680 // G7665 // G7664 // G7663	+
TU0-14528	EG30071 // EG30078	+
TU00297	EG11885 // EG11886	+
TU00155	EG11612	+
TU0-12883	G6170	-
TU0-12853	G6118 // G6117 // G6116 // G6115	+
TU0-42448	G6638	-
TU0-14167	EG10741	+
TU0-4562	EG10357 // EG10006	-
TU0-7901	EG10594 // EG10592	-
TU0-45263	EG10367	+
TU0-12916	G6231	+
TU0-14340	EG10139	+
TU162	EG10269 // EG10672	-
TU0-8486	EG11747	-
TU0-8364	EG12121	+
TU0-4929	EG10092	-
TU0-13844	G7589 // G7588	+
TU0-13288	G6785	-
TU0-8760	G6671	+
TU0-13257	G0-9611	+
TU0-8515	G0-8866	+
TU872	EG11030 // EG11871 // M004 // EG10204 // EG11183 // EG10074 // EG10081	-
TU0-14689	EG11158 // EG30099	+
TU00010	EG10080	+
TU0-8862	EG11030	-
TU0-13319	G6823	-
TU0-42594	EG12663 // EG12662 // EG12661 // G0-9383 // G6359	-
TU0-14006	EG11684	+
TU0-13569	G7171 // G0-10460 // G7170 // G7169 // G7168 // G7167 // G7166	+
TU0-13979	EG12271	+
TU00038	G0-17082 // EG10556 // EG10555 // EG10554	-
TU0-1189	EG30076 // EG30083 // EG30010 // EG30045 // EG30090	+
TU0-13029	G6377	+
TU00389	EG10679	-
TU00360	G0-17074 // EG10753 // EG10964	-
TU0-14034	EG12352	-
TU0-6508	EG10525	-
TU0-13689	EG12112	+
TU00272	G6562 // G369 // G357	-
TU0-13656	EG12310	-
TU00418	G0-8893 // EG10241 // EG10240	+
TU0-2603	EG10424	-
TU0-8621	G7899	+
TU0-14468	EG10732 // EG10731	-
TU0-14416	G7055	+
TU0-13720	G7415	+
TU0-13422	G7000 // EG12204	-
TU0-3741	EG10590 // EG10582	+
TU0-14312	G7424	-
TU0-36408	EG11127	-
TU0-14509	EG11810	-
TU0-45191	EG11811	+
TU00138	EG12292	-
TU0-12867	G6141 // G6140	+
TU0-12836	EG12138	-
TU0-41842	G6928	-
TU0-14151	G7842	+
TU0-45275	EG30071 // EG30078 // EG30032 // EG30085	+
TU788	EG10699	+
TU0-45248	EG10037 // EG10029	-
TU0-12895	G6190	+
TU0-13173	EG11392	-
TU00521	EG30051 // EG30047 // EG30048	-
TU0-8464	EG10873	+
TU0-8344	EG10301 // EG10487 // EG10486 // EG10485 // EG10484 // EG10483	+
TU0-4782	EG10165	+
TU0-13827	G7568	-
TU0-13270	G6757	+
TU0-13971	EG12256	-
TU0-13239	G6699	-
TU0-8498	G0-9608	+
TU0-8061	EG11015	-
TU0-14670	EG10001	+
TU0-921	EG11116	+
TU0-8836	G7548	+
TU0-13301	G6807	-
TU0-42571	EG11157 // EG10056	-
TU0-13991	EG11763	+
TU0-1004	G6940 // G6941 // G6942 // G6943 // G6944	-
TU00342	G7347 // G7348 // EG12341 // EG11897	-
TU00022	EG10325	-
TU0-8766	G7165	-
TU0-13011	G6353 // G6352	+
TU00372	EG11065	-
TU0-13638	G7295	-
TU0-14018	G7789 // EG20051 // EG20049 // GB4478 // EG20053	-
TU0-6441	EG10034	-
TU0-13669	G7346	+
TU0-2082	EG11619	-
TU0-14395	EG11081 // EG11080 // EG10548 // EG10492	+
TU00401	EG10461	+
TU0-13575	G7178	+
TU0-8603	EG11450	+
TU0-14443	EG10265 // EG10347 // EG10339 // EG10342 // EG10214 // EG10619 // EG10623 // EG10344 // EG10620 // EG10604 // EG10622 // EG10621 // EG10341 // EG11086	+
TU0-12818	EG11678	-
TU0-13701	G7383	-
TU0-13407	G6983 // G6982	-
TU0-36425	G6600	-
TU0-45169	G0-16736 // EG11325	+
TU0-3484	G7266 // G7267	-
TU0-14487	EG30074 // EG30081 // EG30034 // EG30088	+
TU00278	EG10345 // EG10340 // EG10346	-
TU00122	EG10380 // EG10377 // EG10379	-
TU0-12849	G6110 // G6109	-
TU0-45232	EG10788 // EG10789 // EG10165	+
TU0-4143	EG11886 // EG11885	+
TU0-14131	EG10712	-
