Transcription-Units	Genes of transcription unit	Direction
TU0-14795	G0-10677	+
TU0-6881	EG10499 // EG10500	+
TU00215	EG10278 // EG10279	-
TU0-8712	G6975	+
TU0-8682	G6532	+
TU0-13517	EG11991	-
TU0-44193	EG10128	-
TU0-13486	EG11891	-
TU0-14232	EG11292	+
TU00224	EG10944	-
TU00195	EG10742	-
TU0-14242	G6747	-
TU0-13084	G6468	-
TU0-14211	G7944	-
TU491	EG11072	+
TU524	G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG11270	+
TU4	G6708	-
TU0-13915	G7715 // G7714 // G7713 // G7712	-
TU0-6843	G7920 // G7921	-
TU0-13886	EG10656	+
TU0-13906	G7694	+
TU0-14818	EG10282 // EG10703	-
TU0-14769	G0-10654	-
TU0-44207	G6718	+
TU0-8680	G6499	+
TU0-42696	EG10234	+
TU0-14803	G6120 // G6121 // G0-10432 // G6122 // G6123 // G6124 // G6125	-
TU0-13100	G6497	-
TU0-13070	G0-8880	-
TU0-7001	EG10369	-
TU0-13484	G0-10456	+
TU0-6652	EG10634	-
TU0-44199	G7727	+
TU0-8695	G6658	-
TU0-8663	G7864	-
TU0-13500	EG11361	-
TU00193	EG10615 // EG10616 // EG11965	+
TU0-13467	G7057 // G7056	-
TU0-13090	EG11253	+
TU00207	G7103 // G7104 // G7105 // G7106 // G7107	-
TU00179	EG11575 // EG11576 // EG11577 // EG11226 // EG11280	-
TU0-14224	EG10945	+
TU0-1421	EG11636	+
TU0-14194	G7916	-
TU0-6886	EG11286	-
TU482	EG30069 // EG11175 // EG11176 // EG10016 // EG12760	-
TU345	EG10061	-
TU0-13898	EG11652 // G7682	+
TU368	EG12278	-
TU0-13870	EG10992	+
TU0-8686	EG11516	-
TU0-14793	EG10014	+
TU0-14741	EG10694	-
TU0-4404	G0-16737 // G6643	-
TU0-13884	EG11499 // G7656	-
TU0-42656	EG10531	+
TU0-13490	EG11896	-
TU0-13082	G6466	+
TU0-13053	EG12421	-
TU0-6822	EG10167	+
TU0-14766	G0-16685 // G0-16687 // G0-16686 // G7923	+
TU0-6622	G6242	+
TU00199	EG11781 // EG11945 // EG11946 // EG11947 // EG11948 // EG11949 // EG11950	+
TU0-8678	G6487	-
TU0-8646	G6974	-
TU0-13482	G7079	+
TU0-42694	EG10076	+
TU0-13447	G0-10455	-
TU0-14216	EG12115 // EG10850 // EG11414	+
TU00191	EG10583	+
TU00163	EG10262 // EG10293	-
TU0-14207	EG11386	+
TU0-13068	G6441	-
TU0-14175	EG10694	-
TU404	EG10400	-
TU363	EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068	-
TU243	EG10040	-
TU0-13882	G7655	-
TU0-6650	EG10451 // EG10448 // EG10444 // EG10450 // EG10445	+
TU0-13853	G36	+
TU0-13890	EG11383 // G7668	-
TU0-14764	EG11053 // EG11052 // EG11051 // EG10502 // EG10494 // EG11275	-
TU0-14699	G6440	+
TU0-42689	EG11845 // EG11846 // EG11847	-
TU0-8661	G7804	-
TU0-42605	EG12183 // EG12182	-
TU0-14781	G6184	+
TU0-13066	G6437	+
TU0-13037	EG11700 // EG10630	+
TU0-6648	EG10243	+
TU0-13464	G7052	+
TU0-6550	EG10407	-
TU0-42700	EG10399	-
TU0-8659	G7641	-
TU0-8629	EG12600	-
TU0-13462	EG12709	-
TU00177	EG10269 // EG10672	-
TU0-13431	G0-8883	-
TU0-13074	G6453	-
TU00175	EG10441	+
TU00147	EG11971	+
TU0-14190	G7909	-
