mechanism	enzymes
GroEL_dependent_folding	b0014,b0015,b0061,b0062,b0064,b0114,b0115,b0116,b0130,b0134,b0143,b0144,b0167,b0170,b0172,b0185,b0209,b0369,b0404,b0439,b0593,b0607,b0628,b0660,b0726,b0727,b0755,b0782,b0783,b0797,b0870,b0902,b0929,b0930,b0957,b1062,b1095,b1107,b1109,b1189,b1190,b1215,b1241,b1243,b1398,b1718,b1719,b1748,b1779,b1831,b2096,b2097,b2140,b2149,b2155,b2284,b2285,b2286,b2296,b2435,b2441,b2478,b2533,b2551,b2557,b2607,b2608,b2614,b2620,b2830,b2834,b2916,b2925,b2926,b2942,b3162,b3256,b3260,b3295,b3340,b3357,b3390,b3405,b3433,b3607,b3650,b3651,b3708,b3725,b3741,b3775,b3780,b3845,b3847,b3850,b3865,b3941,b3957,b3962,b3987,b3988,b3990,b3991,b3993,b3997,b4039,b4154,b4177,b4381,b4382
DnaK_dependent_folding	b0114,b0115,b0439,b0726,b0755,b0930,b1095,b1241,b1719,b1779,b2284,b2557,b2925,b2926,b3295,b3340,b3708,b3987,b3988,b4177,b4382,b2507,b2508,b2697,b2699,b2764,b2780,b2913,b2935,b3067,b3189,b3212,b3339,b3384,b3686,b3687,b3744,b3783,b3829,b3831,b3870,b3893,b3931,b3942,b3980,b4019,b4129,b4131,b4147,b4232,b4239,b4258,b4260,b4375,b4383,b4384,b4391,b0008,b0032,b0033,b0059,b0095,b0118,b0194,b0438,b0642,b0680,b0728,b0893,b0903,b0932,b1014,b1114,b1136,b1175,b1224,b1275,b1479,b1612,b1614,b1676,b1713,b1945,b2029,b2036,b2114,b2231,b2234,b2287,b2297,b2463
