complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,HXW90_00085(2) AND HXW90_00090(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,HXW90_21015(2) AND HXW90_21020(2),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,HXW90_03020(2) AND HXW90_21215(2) AND HXW90_07140(2) AND HXW90_03015(2),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),HXW90_29730() AND HXW90_25605() AND HXW90_05025() AND HXW90_25600(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,HXW90_26630(2) AND HXW90_26635(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,HXW90_24020() AND HXW90_09790(),,
CPLX_ACPPAT120-0,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0),HXW90_24020() AND HXW90_24035(),,
CPLX_ADSK-0,Adenylyl-sulfate kinase,HXW90_03920(4) AND HXW90_03915(4),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,HXW90_30940() AND HXW90_30945(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),HXW90_28155() AND HXW90_02890(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HXW90_04745() AND HXW90_04740() AND HXW90_04735() AND HXW90_04730() AND HXW90_04725(),,
CPLX_ALAALAabcpp-1,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),HXW90_04760() AND HXW90_04740() AND HXW90_04735() AND HXW90_04730() AND HXW90_04725(),,
CPLX_ANS-0,Anthranilate synthase,HXW90_28500() AND HXW90_28495(),,
CPLX_APSR-0,Adenosine 5'-phosphosulfate reductase;,HXW90_23710() AND HXW90_30115(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),HXW90_24360() AND HXW90_24370() AND HXW90_24375() AND HXW90_24380(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),HXW90_06400() AND HXW90_06395() AND HXW90_06390() AND HXW90_06385(),,
CPLX_AST-0,Arginine succinyltransferase,HXW90_24340() AND HXW90_24345(),,
CPLX_ATPPRT-0,ATP phosphoribosyltransferase,HXW90_05110() AND HXW90_02575(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),HXW90_31310() AND HXW90_31330() AND HXW90_31295() AND HXW90_31300() AND HXW90_31325() AND HXW90_31320() AND HXW90_31305() AND HXW90_31315() AND HXW90_31335(),,
CPLX_BUTCT-0,Acetyl-CoA:butyrate-CoA transferase,HXW90_11085(2) AND HXW90_11090(2),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),HXW90_29905(2) AND HXW90_29900(2) AND HXW90_29915(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),HXW90_29080() AND HXW90_29075() AND HXW90_29070(),,
CPLX_CHOLSabc-0,Choline sulfate ABC transporter,HXW90_00160() AND HXW90_00165(),,
CPLX_CMtpp-0,Chloramphenicol transport via TolC system,HXW90_07570() AND HXW90_07565() AND HXW90_07560(),,
CPLX_CMtpp-1,Chloramphenicol transport via TolC system,HXW90_05075() AND HXW90_05080() AND HXW90_05085(),,
CPLX_CPMPS-0,Cyclic pyranopterin monophosphate synthase,HXW90_05565() AND HXW90_17940(),,
CPLX_CRO4abcpp-0,Chromate transport via ABC system (periplasm),HXW90_01010(1) AND HXW90_01025(2) AND HXW90_01020(1) AND HXW90_01015(1),,
CPLX_CRO4abcpp-1,Chromate transport via ABC system (periplasm),HXW90_01025() AND HXW90_01015() AND HXW90_01020() AND HXW90_09590(),,
CPLX_CU1Opp-0,Cuprous Oxidase (Cu+1),HXW90_15450() AND HXW90_15445(),,
CPLX_CYO1_KT-0,Ubiquinol   cytochrome c reductase,HXW90_04840() AND HXW90_04845() AND HXW90_04850(),,
CPLX_DURAD-0,Dihydrouracil dehydrogenase (NADP),HXW90_19525() AND HXW90_19520(),,
CPLX_ETHAAL-0,Ethanolamine ammonia-lyase,HXW90_27860(6) AND HXW90_27865(6),,
CPLX_FE3abcpp-0,Iron (III) transport via ABC system (periplasm to cytoplasm),HXW90_02595() AND HXW90_02590() AND HXW90_06430(),,
CPLX_FE3abcpp-1,Iron (III) transport via ABC system (periplasm to cytoplasm),HXW90_30005() AND HXW90_30000() AND HXW90_06430(),,
