complex_id,name,genes,mod,replace
ZMO1190-MONOMER,,,fmn(1),
ZMO1190-MONOMER,,,mg2(1),
ZMO1191-MONOMER,,,zn2(1),
ZMO1211-MONOMER,,,fad(1),
ZMO1229-MONOMER,,,zn2(1),
ZMO1240-MONOMER,,,23bpg(1),
ZMO1270-MONOMER,,,pydx5p(1),
ZMO1275-MONOMER,,,pydx5p(1),
ZMO1279-MONOMER,,,pan4p(1),
ZMO1279-MONOMER,,,pan4p(1) AND ac(1),
ZMO1279-MONOMER,,,pan4p(1) AND mal(1),
ZMO1279-MONOMER,,,pan4p(1) AND but2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND act(1),
ZMO1279-MONOMER,,,pan4p(1) AND but(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ha(1),
ZMO1279-MONOMER,,,pan4p(1) AND egme(1),
ZMO1279-MONOMER,,,pan4p(1) AND ogme(1),
ZMO1279-MONOMER,,,pan4p(1) AND gme(1),
ZMO1279-MONOMER,,,pan4p(1) AND hgme(1),
ZMO1279-MONOMER,,,pan4p(1) AND thex2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ohex(1),
ZMO1279-MONOMER,,,pan4p(1) AND hex(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hhex(1),
ZMO1279-MONOMER,,,pan4p(1) AND pim(1),
ZMO1279-MONOMER,,,pan4p(1) AND epme(1),
ZMO1279-MONOMER,,,pan4p(1) AND opme(1),
ZMO1279-MONOMER,,,pan4p(1) AND pme(1),
ZMO1279-MONOMER,,,pan4p(1) AND hpme(1),
ZMO1279-MONOMER,,,pan4p(1) AND toct2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ooct(1),
ZMO1279-MONOMER,,,pan4p(1) AND oc(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hoct(1),
ZMO1279-MONOMER,,,pan4p(1) AND tdec2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND cdec3e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3odec(1),
ZMO1279-MONOMER,,,pan4p(1) AND dca(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hdec(1),
ZMO1279-MONOMER,,,pan4p(1) AND t3c5ddece(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ocddec5e(1),
ZMO1279-MONOMER,,,pan4p(1) AND tddec2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND cddec5e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3oddec(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hcddec5e(1),
ZMO1279-MONOMER,,,pan4p(1) AND ddca(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hddec(1),
ZMO1279-MONOMER,,,pan4p(1) AND t3c7mrse(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ocmrs7e(1),
ZMO1279-MONOMER,,,pan4p(1) AND tde(1),
ZMO1279-MONOMER,,,pan4p(1) AND tmrs2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3omrs(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hcmrs7e(1),
ZMO1279-MONOMER,,,pan4p(1) AND myrs(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hmrs(1),
ZMO1279-MONOMER,,,pan4p(1) AND t3c9palme(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ocpalm9e(1),
ZMO1279-MONOMER,,,pan4p(1) AND hde(1),
ZMO1279-MONOMER,,,pan4p(1) AND tpalm2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3opalm(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hcpalm9e(1),
ZMO1279-MONOMER,,,pan4p(1) AND palm(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hpalm(1),
ZMO1279-MONOMER,,,pan4p(1) AND t3c11vace(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ocvac11e(1),
ZMO1279-MONOMER,,,pan4p(1) AND toctd2e(1),
ZMO1279-MONOMER,,,pan4p(1) AND octe(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3ooctd(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hcvac11e(1),
ZMO1279-MONOMER,,,pan4p(1) AND ocdca(1),
ZMO1279-MONOMER,,,pan4p(1) AND 3hocta(1),
ZMO1307-MONOMER,,,4fe4s(1),
ZMO1309-MONOMER,,,zn2(1),
ZMO1329-MONOMER,,,mg2(1),
ZMO1347-MONOMER,,,pydx5p(1),
ZMO1348-MONOMER,,,fe2(2),
ZMO1364-MONOMER,,,4fe4s(1),
ZMO1375-MONOMER,,,mg2(2),
ZMO1389-MONOMER,,,Oxidized(1),
ZMO1402-MONOMER,,,2fe2s(1),
ZMO1402-MONOMER,,,4fe4s(1),
ZMO1419-MONOMER,,,mg2(1),
ZMO1485-MONOMER,,,mg2(1),
ZMO1489-MONOMER,,,mg2(1),
ZMO1496-MONOMER,,,mg2(1),
ZMO1503-MONOMER,,,mg2(1),
ZMO1503-MONOMER,,,mn2(1),
ZMO1507-MONOMER,,,mg2(1),
ZMO1508-MONOMER,,,mg2(4),
ZMO1519-MONOMER,,,mg2(1) AND pi(1),
ZMO1519-MONOMER,,,mn2(1) AND pi(1),
ZMO1551-MONOMER,,,mn2(1),
ZMO1553-MONOMER,,,mg2(1),
ZMO1557-MONOMER,,,mg2(1),
ZMO1632-MONOMER,,,zn2(1) AND cobalt2(1),
ZMO1640-MONOMER,,,mg2(1),
ZMO1642-MONOMER,,,mg2(1),
ZMO1647-MONOMER,,,mg2(1),
ZMO1654-MONOMER,,,zn2(1),
ZMO1687-MONOMER,,,mg2(1),
ZMO1689-MONOMER,,,cobalt2(1) AND zn2(1),
ZMO1689-MONOMER,,,mn2(1) AND zn2(1),
ZMO1689-MONOMER,,,ni2(1) AND zn2(1),
ZMO1693-MONOMER,,,fmnh2(1),
ZMO1693-MONOMER,,,fadh2(1),
ZMO1698-MONOMER,,,mg2(1),
ZMO1709-MONOMER,,,mg2(1),
ZMO1709-MONOMER,,,mn2(1),
ZMO1720-MONOMER,,,mg2(1),
ZMO1747-MONOMER,,,fad(1),
ZMO1753-MONOMER,,,fad(1),
ZMO1755-MONOMER,,,mg2(1),
ZMO1757-MONOMER,,,mg2(1),
ZMO1768-MONOMER,,,pydx5p(1),
ZMO1790-MONOMER,,,mg2(1),
ZMO1797-MONOMER,,,mg2(1),
ZMO1834-MONOMER,,,pydx5p(2),
ZMO1851-MONOMER,,,Oxidized(1),
ZMO1870-MONOMER,,,mg2(1),
ZMO1871-MONOMER,,,4fe4s(1),
ZMO1873-MONOMER,,,Oxidized(1),
ZMO1879-MONOMER,,,zn2(1),
ZMO1891-MONOMER,,,pydx5p(1),
ZMO1895-MONOMER,,,k(1) AND mg2(1),
ZMO1903-MONOMER,,,dpm(1),
ZMO1915-MONOMER,,,mg2(1),
ZMO1918-MONOMER,,,pydx5p(1),
ZMO1952-MONOMER,,,mg2(1),
ZMO1964-MONOMER,,,mg2(1) AND zn2(1),
ZMO1954-MONOMER,,,mg2(1) AND k(1),
ZMO1954-MONOMER,,,mg2(1) AND nh4(1),
ZMO1954-MONOMER,,,mn2(1) AND k(1),
ZMO1954-MONOMER,,,mn2(1) AND nh4(1),
CPLX_PHETRS-0,,,mg2(1),
CPLX_TRPS1-0,,,pydx5p(1),
