complex_id,name,genes,mod,replace
CPLX_TEICH45-0,Teichuronic acid  n45   unlinked  GalNAc GlcA repeated,BSU35609() AND BSU35600() AND BSU35590() AND BSU35570() AND BSU35550() AND BSU35540(),,
CPLX_TREpts-0,Trehalose transport via PEP:Pyr PTS,BSU13900() AND BSU13910() AND BSU07800(),,
BSU32680-MONOMER,,,fe2(1),
BSU32680-MONOMER,,,fe2(2),
BSU30820-MONOMER,,,mg2(1) AND mn2(1) AND thmpp(1),
BSU00920-MONOMER,,,mg2(1) AND zn2(1),
BSU32530-MONOMER,,,mn2(1),
BSU32530-MONOMER,,,2fe2s(1) AND mn2(1),
BSU32530-MONOMER,,,4fe4s(1) AND mn2(1),
BSU00760-MONOMER,,,pydx5p(1),
BSU11210-MONOMER,,,mg2(1),
BSU06360-MONOMER,,,mg2(1),
BSU00280-MONOMER,,,mg2(1),
BSU11610-MONOMER,,,mg2(1),
BSU14390-MONOMER,,,mg2(1),
BSU28090-MONOMER,,,mg2(1),
BSU03640-MONOMER,,,mn2(1),
BSU33900-MONOMER,,,mg2(4),
BSU38860-MONOMER,,,nad(1),
BSU32330-MONOMER,,,4fe4s(2),
BSU24120-MONOMER,,,mg2(1),
BSU35920-MONOMER,,,k(1) AND mg2(1),
BSU04340-MONOMER,,,mg2(1) AND thmpp(1) AND fad(1),
BSU19710-MONOMER,,,zn2(1),
BSU18830-MONOMER,,,mg2(1),
BSU14310-MONOMER,,,amp(1),
BSU14310-MONOMER,,,coo(1),
BSU14310-MONOMER,,,cosh(1),
BSU33910-MONOMER,,,mn2(1),
BSU27850-MONOMER,,,4fe4s(1),
BSU21870-MONOMER,,,4fe4s(1),
BSU29180-MONOMER,,,mg2(1) AND k(1),
BSU29180-MONOMER,,,mn2(1) AND k(1),
BSU29190-MONOMER,,,mg2(1),
BSU01050-MONOMER,,,acetyl(1),
BSU00730-MONOMER,,,pydx5p(2),
BSU06490-MONOMER,,,mg2(1),
BSU28370-MONOMER,,,mg2(1),
BSU03900-MONOMER,,,pydx5p(1),
BSU14520-MONOMER,,,mn2(1),
BSU06480-MONOMER,,,mg2(1),
BSU37830-MONOMER,,,nad(1),
BSU28360-MONOMER,,,mg2(1),
BSU32050-MONOMER,,,zn2(1),
BSU10020-MONOMER,,,pydx5p(1),
BSU03130-MONOMER,,,mg2(1),
BSU03130-MONOMER,,,mn2(1),
BSU23770-MONOMER,,,pydx5p(1),
BSU02130-MONOMER,,,ca2(1),
BSU38200-MONOMER,,,mg2(1),
BSU30800-MONOMER,,,hco3(1),
BSU16920-MONOMER,,,mg2(1),
BSU19400-MONOMER,,,cu2(1),
BSU04640-MONOMER,,,pydx5p(1),
BSU37560-MONOMER,,,zn2(1),
BSU37080-MONOMER,,,mg2(3),
BSU23760-MONOMER,,,mg2(1),
BSU15720-MONOMER,,,fe2(1),
BSU01370-MONOMER,,,mg2(1),
BSU25160-MONOMER,,,nadph(1) AND nadh(1) AND fad(1) AND cobalt2(1),
BSU02490-MONOMER,,,mg2(1),
BSU00380-MONOMER,,,zn2(2),
BSU14630-MONOMER,,,pydx5p(1),
BSU28780-MONOMER,,,zn2(1),
BSU18000-MONOMER,,,4fe4s(1),
BSU14170-MONOMER,,,Oxidized(1),
BSU27870-MONOMER,,,fad(1),
BSU34970-MONOMER,,,mg2(1) AND cl(1),
BSU27560-MONOMER,,,mg2(4),
BSU29970-MONOMER,,,pydx5p(1),
BSU28290-MONOMER,,,mg2(1),
BSU28130-MONOMER,,,zn2(1),
BSU13120-MONOMER,,,mg2(1),
BSU04000-MONOMER,,,k(1) AND mg2(1),
BSU15930-MONOMER,,,mg2(2),
BSU16540-MONOMER,,,mg2(1) AND k(1),
BSU25640-MONOMER,,,mg2(1),
BSU09310-MONOMER,,,mg2(1),
BSU27510-MONOMER,,,pydx5p(2),
BSU25460-MONOMER,,,zn2(4),
BSU31200-MONOMER,,,mg2(1),
BSU21820-MONOMER,,,mg2(1),
BSU29130-MONOMER,,,mn2(1),
BSU29130-MONOMER,,,mg2(1),
BSU17330-MONOMER,,,mg2(2),
BSU15230-MONOMER,,,fad(1),
BSU28800-MONOMER,,,mn2(1),
BSU00510-MONOMER,,,mg2(1) AND pi(1),
BSU00510-MONOMER,,,mn2(1) AND pi(1),
BSU32160-MONOMER,,,2fe2s(1),
BSU32160-MONOMER,,,4fe4s(1),
BSU17000-MONOMER,,,pydx5p(1),
BSU25020-MONOMER,,,mn2(1),
BSU28150-MONOMER,,,dpm(1),
BSU28500-MONOMER,,,Oxidized(1),
BSU30560-MONOMER,,,mg2(1),
BSU30560-MONOMER,,,ca2(1),
BSU30560-MONOMER,,,mn2(1),
BSU11140-MONOMER,,,mg2(1),
BSU38290-MONOMER,,,mg2(1),
BSU22740-MONOMER,,,mg2(1),
BSU27860-MONOMER,,,mg2(1),
BSU27710-MONOMER,,,zn2(6),
BSU22420-MONOMER,,,mg2(1) AND k(1),
BSU22420-MONOMER,,,mg2(1) AND nh4(1),
BSU22420-MONOMER,,,mn2(1) AND k(1),
BSU22420-MONOMER,,,mn2(1) AND nh4(1),
BSU27410-MONOMER,,,zn2(4),
BSU23570-MONOMER,,,mg2(1),
BSU23570-MONOMER,,,mn2(1),
BSU23570-MONOMER,,,cobalt2(1),
BSU27250-MONOMER,,,pydx5p(1),
BSU10910-MONOMER,,,mg2(1),
BSU10910-MONOMER,,,mn2(1),
BSU10910-MONOMER,,,cobalt2(1),
BSU10910-MONOMER,,,cd2(1),
BSU15200-MONOMER,,,k(1) AND mg2(1),
BSU21770-MONOMER,,,pydx5p(1),
BSU00940-MONOMER,,,zn2(1),
BSU23260-MONOMER,,,mg2(1),
BSU11420-MONOMER,,,mg2(1),
CPLX8J2-2,,,bmocogdp(1) AND 3fe4s(1) AND 4fe4s(1),
CPLX8J2-146,,,mn2(1),
BSU28120-MONOMER,,,pydx5p(1),
BSU16530-MONOMER,,,mg2(1),
BSU00460-MONOMER,,,mg2(1),
BSU22780-MONOMER,,,zn2(1),
BSU34910-MONOMER,,,mn2(1),
BSU09300-MONOMER,,,fad(1),
BSU23840-MONOMER,,,zn2(2),
CPLX8J2-102,,,pheme(1) AND hemed(1),
BSU22620-MONOMER,,,pydx5p(1),
BSU23380-MONOMER,,,pydx5p(1),
BSU35530-MONOMER,,,mg2(1),
BSU16990-MONOMER,,,zn2(1),
BSU30550-MONOMER,,,k(4) AND mg2(1),
BSU30550-MONOMER,,,k(4) AND mn2(1),
BSU30550-MONOMER,,,k(4) AND cobalt2(1),
BSU30550-MONOMER,,,k(4) AND zn2(1),
BSU30550-MONOMER,,,k(4) AND cd2(1),
BSU30550-MONOMER,,,k(4) AND ni2(1),
