Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
BSU06380-MONOMER	Plasma_Membrane	BSU06380()	Plasma_Membrane	s
BSU09130-MONOMER	Plasma_Membrane	BSU09130()	Plasma_Membrane	s
BSU03040-MONOMER	Extracellular_Space	BSU03040()	Extracellular_Space	s
BSU13680-MONOMER	Plasma_Membrane	BSU13680()	Plasma_Membrane	s
BSU35700-MONOMER	Plasma_Membrane	BSU35700()	Plasma_Membrane	s
BSU10080-MONOMER	Plasma_Membrane	BSU10080()	Plasma_Membrane	s
BSU11080-MONOMER	Plasma_Membrane	BSU11080()	Plasma_Membrane	s
BSU34600-MONOMER	Plasma_Membrane	BSU34600()	Plasma_Membrane	s
BSU38260-MONOMER	Extracellular_Space	BSU38260()	Extracellular_Space	s
BSU04280-MONOMER	Plasma_Membrane	BSU04280()	Plasma_Membrane	s
BSU13520-MONOMER	Plasma_Membrane	BSU13520()	Plasma_Membrane	s
BSU14569-MONOMER	Plasma_Membrane	BSU14569()	Plasma_Membrane	s
BSU16220-MONOMER	Plasma_Membrane	BSU16220()	Plasma_Membrane	s
BSU27200-MONOMER	Plasma_Membrane	BSU27200()	Plasma_Membrane	s
BSU24630-MONOMER	Plasma_Membrane	BSU24630()	Plasma_Membrane	s
BSU05160-MONOMER	Plasma_Membrane	BSU05160()	Plasma_Membrane	s
BSU34440-MONOMER	Plasma_Membrane	BSU34440()	Plasma_Membrane	s
BSU07910-MONOMER	Plasma_Membrane	BSU07910()	Plasma_Membrane	s
BSU19749-MONOMER	Plasma_Membrane	BSU19749()	Plasma_Membrane	s
BSU35530-MONOMER	Plasma_Membrane	BSU35530()	Plasma_Membrane	s
BSU27040-MONOMER	Plasma_Membrane	BSU27040()	Plasma_Membrane	s
BSU30710-MONOMER	Plasma_Membrane	BSU30710()	Plasma_Membrane	s
BSU19620-MONOMER	Plasma_Membrane	BSU19620()	Plasma_Membrane	s
BSU14410-MONOMER	Plasma_Membrane	BSU14410()	Plasma_Membrane	s
BSU04120-MONOMER	Plasma_Membrane	BSU04120()	Plasma_Membrane	s
BSU13210-MONOMER	Plasma_Membrane	BSU13210()	Plasma_Membrane	s
BSU04860-MONOMER	Plasma_Membrane	BSU04860()	Plasma_Membrane	s
BSU33360-MONOMER	Plasma_Membrane	BSU33360()	Plasma_Membrane	s
BSU18070-MONOMER	Plasma_Membrane	BSU18070()	Plasma_Membrane	s
BSU07750-MONOMER	Plasma_Membrane	BSU07750()	Plasma_Membrane	s
BSU26055-MONOMER	Plasma_Membrane	BSU26055()	Plasma_Membrane	s
BSU37040-MONOMER	Plasma_Membrane	BSU37040()	Plasma_Membrane	s
BSU13060-MONOMER	Plasma_Membrane	BSU13060()	Plasma_Membrane	s
BSU09770-MONOMER	Plasma_Membrane	BSU09770()	Plasma_Membrane	s
BSU18770-MONOMER	Plasma_Membrane	BSU18770()	Plasma_Membrane	s
BSU26710-MONOMER	Plasma_Membrane	BSU26710()	Plasma_Membrane	s
BSU30390-MONOMER	Plasma_Membrane	BSU30390()	Plasma_Membrane	s
BSU37630-MONOMER	Plasma_Membrane	BSU37630()	Plasma_Membrane	s
BSU17689-MONOMER	Plasma_Membrane	BSU17689()	Plasma_Membrane	s
BSU03981-MONOMER	Plasma_Membrane	BSU03981()	Plasma_Membrane	s
BSU12900-MONOMER	Plasma_Membrane	BSU12900()	Plasma_Membrane	s
BSU29610-MONOMER	Plasma_Membrane	BSU29610()	Plasma_Membrane	s
BSU16480-MONOMER	Plasma_Membrane	BSU16480()	Plasma_Membrane	s
BSU31620-MONOMER	Plasma_Membrane	BSU31620()	Plasma_Membrane	s
BSU07580-MONOMER	Plasma_Membrane	BSU07580()	Plasma_Membrane	s
BSU02090-MONOMER	Plasma_Membrane	BSU02090()	Plasma_Membrane	s
BSU35210-MONOMER	Plasma_Membrane	BSU35210()	Plasma_Membrane	s
BSU09610-MONOMER	Plasma_Membrane	BSU09610()	Plasma_Membrane	s
BSU36880-MONOMER	Plasma_Membrane	BSU36880()	Plasma_Membrane	s
BSU18630-MONOMER	Cell_Wall	BSU18630()	Cell_Wall	s
BSU40480-MONOMER	Plasma_Membrane	BSU40480()	Plasma_Membrane	s
BSU16320-MONOMER	Plasma_Membrane	BSU16320()	Plasma_Membrane	s
BSU33630-MONOMER	Plasma_Membrane	BSU33630()	Plasma_Membrane	s
BSU08029-MONOMER	Plasma_Membrane	BSU08029()	Plasma_Membrane	s
BSU04230-MONOMER	Plasma_Membrane	BSU04230()	Plasma_Membrane	s
BSU17760-MONOMER	Plasma_Membrane	BSU17760()	Plasma_Membrane	s
BSU33060-MONOMER	Plasma_Membrane	BSU33060()	Plasma_Membrane	s
BSU31460-MONOMER	Plasma_Membrane	BSU31460()	Plasma_Membrane	s
BSU07400-MONOMER	Plasma_Membrane	BSU07400()	Plasma_Membrane	s
BSU33470-MONOMER	Plasma_Membrane	BSU33470()	Plasma_Membrane	s
BSU07860-MONOMER	Plasma_Membrane	BSU07860()	Plasma_Membrane	s
BSU36720-MONOMER	Plasma_Membrane	BSU36720()	Plasma_Membrane	s
BSU29720-MONOMER	Plasma_Membrane	BSU29720()	Plasma_Membrane	s
BSU13950-MONOMER	Plasma_Membrane	BSU13950()	Plasma_Membrane	s
BSU33310-MONOMER	Plasma_Membrane	BSU33310()	Plasma_Membrane	s
BSU23980-MONOMER	Plasma_Membrane	BSU23980()	Plasma_Membrane	s
BSU01590-MONOMER	Plasma_Membrane	BSU01590()	Plasma_Membrane	s
BSU36990-MONOMER	Plasma_Membrane	BSU36990()	Plasma_Membrane	s
BSU31319-MONOMER	Plasma_Membrane	BSU31319()	Plasma_Membrane	s
BSU33170-MONOMER	Plasma_Membrane	BSU33170()	Plasma_Membrane	s
BSU07520-MONOMER	Plasma_Membrane	BSU07520()	Plasma_Membrane	s
BSU09280-MONOMER	Plasma_Membrane	BSU09280()	Plasma_Membrane	s
BSU36830-MONOMER	Plasma_Membrane	BSU36830()	Plasma_Membrane	s
BSU07210-MONOMER	Plasma_Membrane	BSU07210()	Plasma_Membrane	s
BSU36530-MONOMER	Plasma_Membrane	BSU36530()	Plasma_Membrane	s
BSU25720-MONOMER	Plasma_Membrane	BSU25720()	Plasma_Membrane	s
MONOMER8J2-56	Plasma_Membrane	BSU26826()	Plasma_Membrane	s
BSU40150-MONOMER	Plasma_Membrane	BSU40150()	Plasma_Membrane	s
BSU11900-MONOMER	Plasma_Membrane	BSU11900()	Plasma_Membrane	s
BSU05430-MONOMER	Plasma_Membrane	BSU05430()	Plasma_Membrane	s
BSU25569-MONOMER	Plasma_Membrane	BSU25569()	Plasma_Membrane	s
BSU07140-MONOMER	Plasma_Membrane	BSU07140()	Plasma_Membrane	s
BSU09110-MONOMER	Plasma_Membrane	BSU09110()	Plasma_Membrane	s
BSU32730-MONOMER	Plasma_Membrane	BSU32730()	Plasma_Membrane	s
BSU36480-MONOMER	Plasma_Membrane	BSU36480()	Plasma_Membrane	s
BSU03020-MONOMER	Plasma_Membrane	BSU03020()	Plasma_Membrane	s
BSU38400-MONOMER	Extracellular_Space	BSU38400()	Extracellular_Space	s
BSU25380-MONOMER	Plasma_Membrane	BSU25380()	Plasma_Membrane	s
BSU13660-MONOMER	Plasma_Membrane	BSU13660()	Plasma_Membrane	s
BSU29070-MONOMER	Plasma_Membrane	BSU29070()	Plasma_Membrane	s
BSU10770-MONOMER	Cell_Wall	BSU10770()	Cell_Wall	s
BSU06980-MONOMER	Plasma_Membrane	BSU06980()	Plasma_Membrane	s
BSU39960-MONOMER	Plasma_Membrane	BSU39960()	Plasma_Membrane	s
BSU17300-MONOMER	Plasma_Membrane	BSU17300()	Plasma_Membrane	s
BSU31010-MONOMER	Plasma_Membrane	BSU31010()	Plasma_Membrane	s
BSU15170-MONOMER	Plasma_Membrane	BSU15170()	Plasma_Membrane	s
BSU34580-MONOMER	Plasma_Membrane	BSU34580()	Plasma_Membrane	s
BSU15220-MONOMER	Plasma_Membrane	BSU15220()	Plasma_Membrane	s
BSU28910-MONOMER	Plasma_Membrane	BSU28910()	Plasma_Membrane	s
BSU32540-MONOMER	Extracellular_Space	BSU32540()	Extracellular_Space	s
BSU02860-MONOMER	Plasma_Membrane	BSU02860()	Plasma_Membrane	s
BSU32590-MONOMER	Plasma_Membrane	BSU32590()	Plasma_Membrane	s
BSU38240-MONOMER	Plasma_Membrane	BSU38240()	Plasma_Membrane	s
BSU11549-MONOMER	Plasma_Membrane	BSU11549()	Plasma_Membrane	s
BSU21430-MONOMER	Plasma_Membrane	BSU21430()	Plasma_Membrane	s
BSU36580-MONOMER	Plasma_Membrane	BSU36580()	Plasma_Membrane	s
BSU28740-MONOMER	Plasma_Membrane	BSU28740()	Plasma_Membrane	s
BSU00610-MONOMER	Plasma_Membrane	BSU00610()	Plasma_Membrane	s
BSU10980-MONOMER	Plasma_Membrane	BSU10980()	Plasma_Membrane	s
BSU05140-MONOMER	Plasma_Membrane	BSU05140()	Plasma_Membrane	s
BSU39640-MONOMER	Plasma_Membrane	BSU39640()	Plasma_Membrane	s
BSU21480-MONOMER	Extracellular_Space	BSU21480()	Extracellular_Space	s
BSU11390-MONOMER	Plasma_Membrane	BSU11390()	Plasma_Membrane	s
BSU32440-MONOMER	Plasma_Membrane	BSU32440()	Plasma_Membrane	s
BSU02700-MONOMER	Extracellular_Space	BSU02700()	Extracellular_Space	s
BSU29170-MONOMER	Plasma_Membrane	BSU29170()	Plasma_Membrane	s
BSU38090-MONOMER	Extracellular_Space	BSU38090()	Extracellular_Space	s
BSU39480-MONOMER	Plasma_Membrane	BSU39480()	Plasma_Membrane	s
BSU36060-MONOMER	Cell_Wall	BSU36060()	Cell_Wall	s
BSU14700-MONOMER	Extracellular_Space	BSU14700()	Extracellular_Space	s
BSU10450-MONOMER	Plasma_Membrane	BSU10450()	Plasma_Membrane	s
BSU24780-MONOMER	Plasma_Membrane	BSU24780()	Plasma_Membrane	s
BSU06370-MONOMER	Plasma_Membrane	BSU06370()	Plasma_Membrane	s
BSU11440-MONOMER	Plasma_Membrane	BSU11440()	Plasma_Membrane	s
BSU10820-MONOMER	Plasma_Membrane	BSU10820()	Plasma_Membrane	s
BSU14910-MONOMER	Plasma_Membrane	BSU14910()	Plasma_Membrane	s
BSU24990-MONOMER	Plasma_Membrane	BSU24990()	Plasma_Membrane	s
BSU24620-MONOMER	Extracellular_Space	BSU24620()	Extracellular_Space	s
BSU34250-MONOMER	Plasma_Membrane	BSU34250()	Plasma_Membrane	s
BSU06230-MONOMER	Plasma_Membrane	BSU06230()	Plasma_Membrane	s
BSU06570-MONOMER	Plasma_Membrane	BSU06570()	Plasma_Membrane	s
BSU35520-MONOMER	Plasma_Membrane	BSU35520()	Plasma_Membrane	s
BSU09920-MONOMER	Plasma_Membrane	BSU09920()	Plasma_Membrane	s
BSU15270-MONOMER	Plasma_Membrane	BSU15270()	Plasma_Membrane	s
BSU35900-MONOMER	Plasma_Membrane	BSU35900()	Plasma_Membrane	s
BSU03789-MONOMER	Plasma_Membrane	BSU03789()	Plasma_Membrane	s
BSU37930-MONOMER	Plasma_Membrane	BSU37930()	Plasma_Membrane	s
BSU11270-MONOMER	Plasma_Membrane	BSU11270()	Plasma_Membrane	s
BSU14400-MONOMER	Plasma_Membrane	BSU14400()	Plasma_Membrane	s
BSU28099-MONOMER	Plasma_Membrane	BSU28099()	Plasma_Membrane	s
BSU24830-MONOMER	Extracellular_Space	BSU24830()	Extracellular_Space	s
BSU23190-MONOMER	Plasma_Membrane	BSU23190()	Plasma_Membrane	s
BSU35360-MONOMER	Cell_Wall	BSU35360()	Cell_Wall	s
BSU26860-MONOMER	Plasma_Membrane	BSU26860()	Plasma_Membrane	s
BSU11120-MONOMER	Plasma_Membrane	BSU11120()	Plasma_Membrane	s
BSU11640-MONOMER	Plasma_Membrane	BSU11640()	Plasma_Membrane	s
BSU30530-MONOMER	Plasma_Membrane	BSU30530()	Plasma_Membrane	s
BSU24670-MONOMER	Plasma_Membrane	BSU24670()	Plasma_Membrane	s
BSU17910-MONOMER	Plasma_Membrane	BSU17910()	Plasma_Membrane	s
BSU34090-MONOMER	Plasma_Membrane	BSU34090()	Plasma_Membrane	s
BSU31610-MONOMER	Plasma_Membrane	BSU31610()	Plasma_Membrane	s
BSU09600-MONOMER	Plasma_Membrane	BSU09600()	Plasma_Membrane	s
BSU35570-MONOMER	Plasma_Membrane	BSU35570()	Plasma_Membrane	s
BSU09965-MONOMER	Plasma_Membrane	BSU09965()	Plasma_Membrane	s
BSU28840-MONOMER	Plasma_Membrane	BSU28840()	Plasma_Membrane	s
BSU03830-MONOMER	Plasma_Membrane	BSU03830()	Plasma_Membrane	s
BSU20520-MONOMER	Plasma_Membrane	BSU20520()	Plasma_Membrane	s
BSU14080-MONOMER	Plasma_Membrane	BSU14080()	Plasma_Membrane	s
BSU20890-MONOMER	Plasma_Membrane	BSU20890()	Plasma_Membrane	s
BSU24510-MONOMER	Plasma_Membrane	BSU24510()	Plasma_Membrane	s
BSU17750-MONOMER	Plasma_Membrane	BSU17750()	Plasma_Membrane	s
BSU31450-MONOMER	Plasma_Membrane	BSU31450()	Plasma_Membrane	s
BSU23010-MONOMER	Plasma_Membrane	BSU23010()	Plasma_Membrane	s
BSU35410-MONOMER	Extracellular_Space	BSU35410()	Extracellular_Space	s
BSU03330-MONOMER	Plasma_Membrane	BSU03330()	Plasma_Membrane	s
BSU38710-MONOMER	Plasma_Membrane	BSU38710()	Plasma_Membrane	s
BSU26690-MONOMER	Plasma_Membrane	BSU26690()	Plasma_Membrane	s
BSU03690-MONOMER	Plasma_Membrane	BSU03690()	Plasma_Membrane	s
BSU23970-MONOMER	Plasma_Membrane	BSU23970()	Plasma_Membrane	s
BSU27630-MONOMER	Plasma_Membrane	BSU27630()	Plasma_Membrane	s
BSU27990-MONOMER	Plasma_Membrane	BSU27990()	Plasma_Membrane	s
BSU30370-MONOMER	Plasma_Membrane	BSU30370()	Plasma_Membrane	s
BSU31310-MONOMER	Plasma_Membrane	BSU31310()	Plasma_Membrane	s
BSU14960-MONOMER	Plasma_Membrane	BSU14960()	Plasma_Membrane	s
BSU31660-MONOMER	Plasma_Membrane	BSU31660()	Plasma_Membrane	s
BSU25040-MONOMER	Plasma_Membrane	BSU25040()	Plasma_Membrane	s
BSU35260-MONOMER	Plasma_Membrane	BSU35260()	Plasma_Membrane	s
BSU08320-MONOMER	Plasma_Membrane	BSU08320()	Plasma_Membrane	s
BSU28680-MONOMER	Plasma_Membrane	BSU28680()	Plasma_Membrane	s
BSU03530-MONOMER	Plasma_Membrane	BSU03530()	Plasma_Membrane	s
MONOMER8J2-55	Plasma_Membrane	BSU18978()	Plasma_Membrane	s
BSU27830-MONOMER	Cell_Wall	BSU27830()	Cell_Wall	s
BSU35950-MONOMER	Plasma_Membrane	BSU35950()	Plasma_Membrane	s
BSU17099-MONOMER	Plasma_Membrane	BSU17099()	Plasma_Membrane	s
BSU17800-MONOMER	Plasma_Membrane	BSU17800()	Plasma_Membrane	s
BSU31160-MONOMER	Plasma_Membrane	BSU31160()	Plasma_Membrane	s
BSU34729-MONOMER	Plasma_Membrane	BSU34729()	Plasma_Membrane	s
BSU12880-MONOMER	Plasma_Membrane	BSU12880()	Plasma_Membrane	s
BSU35090-MONOMER	Plasma_Membrane	BSU35090()	Plasma_Membrane	s
BSU22860-MONOMER	Plasma_Membrane	BSU22860()	Plasma_Membrane	s
BSU03370-MONOMER	Plasma_Membrane	BSU03370()	Plasma_Membrane	s
BSU38390-MONOMER	Plasma_Membrane	BSU38390()	Plasma_Membrane	s
BSU38760-MONOMER	Plasma_Membrane	BSU38760()	Plasma_Membrane	s
BSU14800-MONOMER	Plasma_Membrane	BSU14800()	Plasma_Membrane	s
BSU27680-MONOMER	Plasma_Membrane	BSU27680()	Plasma_Membrane	s
BSU05620-MONOMER	Plasma_Membrane	BSU05620()	Plasma_Membrane	s
BSU17290-MONOMER	Plasma_Membrane	BSU17290()	Plasma_Membrane	s
BSU31340-MONOMER	Plasma_Membrane	BSU31340()	Plasma_Membrane	s
BSU33770-MONOMER	Extracellular_Space	BSU33770()	Extracellular_Space	s
BSU09320-MONOMER	Plasma_Membrane	BSU09320()	Plasma_Membrane	s
BSU02850-MONOMER	Plasma_Membrane	BSU02850()	Plasma_Membrane	s
BSU03220-MONOMER	Plasma_Membrane	BSU03220()	Plasma_Membrane	s
BSU38230-MONOMER	Plasma_Membrane	BSU38230()	Plasma_Membrane	s
BSU19880-MONOMER	Plasma_Membrane	BSU19880()	Plasma_Membrane	s
BSU13500-MONOMER	Plasma_Membrane	BSU13500()	Plasma_Membrane	s
BSU13830-MONOMER	Plasma_Membrane	BSU13830()	Plasma_Membrane	s
BSU19140-MONOMER	Plasma_Membrane	BSU19140()	Plasma_Membrane	s
BSU05470-MONOMER	Plasma_Membrane	BSU05470()	Plasma_Membrane	s
BSU09150-MONOMER	Plasma_Membrane	BSU09150()	Plasma_Membrane	s
BSU39450-MONOMER	Plasma_Membrane	BSU39450()	Plasma_Membrane	s
BSU03060-MONOMER	Plasma_Membrane	BSU03060()	Plasma_Membrane	s
BSU38440-MONOMER	Plasma_Membrane	BSU38440()	Plasma_Membrane	s
BSU04370-MONOMER	Plasma_Membrane	BSU04370()	Plasma_Membrane	s
BSU24720-MONOMER	Plasma_Membrane	BSU24720()	Plasma_Membrane	s
BSU16960-MONOMER	Plasma_Membrane	BSU16960()	Plasma_Membrane	s
BSU16300-MONOMER	Plasma_Membrane	BSU16300()	Plasma_Membrane	s
BSU30680-MONOMER	Plasma_Membrane	BSU30680()	Plasma_Membrane	s
BSU02540-MONOMER	Plasma_Membrane	BSU02540()	Plasma_Membrane	s
BSU37920-MONOMER	Cell_Wall	BSU37920()	Cell_Wall	s
BSU00230-MONOMER	Plasma_Membrane	BSU00230()	Plasma_Membrane	s
BSU38280-MONOMER	Plasma_Membrane	BSU38280()	Plasma_Membrane	s
BSU32040-MONOMER	Plasma_Membrane	BSU32040()	Plasma_Membrane	s
BSU01900-MONOMER	Plasma_Membrane	BSU01900()	Plasma_Membrane	s
BSU23180-MONOMER	Plasma_Membrane	BSU23180()	Plasma_Membrane	s
BSU35630-MONOMER	Plasma_Membrane	BSU35630()	Plasma_Membrane	s
BSU10010-MONOMER	Plasma_Membrane	BSU10010()	Plasma_Membrane	s
BSU18980-MONOMER	Plasma_Membrane	BSU18980()	Plasma_Membrane	s
BSU34460-MONOMER	Plasma_Membrane	BSU34460()	Plasma_Membrane	s
BSU34080-MONOMER	Plasma_Membrane	BSU34080()	Plasma_Membrane	s
BSU08840-MONOMER	Plasma_Membrane	BSU08840()	Plasma_Membrane	s
BSU02380-MONOMER	Plasma_Membrane	BSU02380()	Plasma_Membrane	s
BSU38130-MONOMER	Plasma_Membrane	BSU38130()	Plasma_Membrane	s
BSU37760-MONOMER	Plasma_Membrane	BSU37760()	Plasma_Membrane	s
BSU20929-MONOMER	Plasma_Membrane	BSU20929()	Plasma_Membrane	s
BSU19440-MONOMER	Plasma_Membrane	BSU19440()	Plasma_Membrane	s
BSU22550-MONOMER	Plasma_Membrane	BSU22550()	Plasma_Membrane	s
BSU13390-MONOMER	Plasma_Membrane	BSU13390()	Plasma_Membrane	s
BSU23000-MONOMER	Plasma_Membrane	BSU23000()	Plasma_Membrane	s
BSU30360-MONOMER	Plasma_Membrane	BSU30360()	Plasma_Membrane	s
BSU08690-MONOMER	Plasma_Membrane	BSU08690()	Plasma_Membrane	s
BSU08310-MONOMER	Plasma_Membrane	BSU08310()	Plasma_Membrane	s
