Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
HNE05_01840-MONOMER	Inner_Membrane	HNE05_01840()	Periplasm	s
HNE05_17980-MONOMER	Inner_Membrane	HNE05_17980()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	HNE05_17980()	Inner_Membrane	r
HNE05_18005-MONOMER	Inner_Membrane	HNE05_18005()	Inner_Membrane	y
CPLX_ATPS4rpp-0	Inner_Membrane	HNE05_18005()	Inner_Membrane	y
HNE05_17970-MONOMER	Inner_Membrane	HNE05_17970()	Inner_Membrane	p
CPLX_ATPS4rpp-0	Inner_Membrane	HNE05_17970()	Inner_Membrane	p
HNE05_17975-MONOMER	Inner_Membrane	HNE05_17975()	Inner_Membrane	r
CPLX_ATPS4rpp-0	Inner_Membrane	HNE05_17975()	Inner_Membrane	r
HNE05_04465-MONOMER	Inner_Membrane	HNE05_04465()	Inner_Membrane	p
CPLX_ILEabcpp-0	Inner_Membrane	HNE05_04465()	Inner_Membrane	p
HNE05_04470-MONOMER	Inner_Membrane	HNE05_04470()	Inner_Membrane	r
CPLX_ILEabcpp-0	Inner_Membrane	HNE05_04470()	Inner_Membrane	r
HNE05_01660-MONOMER	Inner_Membrane	HNE05_01660()	Inner_Membrane	r
HNE05_08680-MONOMER	Inner_Membrane	HNE05_08680()	Inner_Membrane	r
HNE05_13110-MONOMER	Inner_Membrane	HNE05_13110()	Inner_Membrane	r
HNE05_18555-MONOMER	Inner_Membrane	HNE05_18555()	Inner_Membrane	r
HNE05_18475-MONOMER	Inner_Membrane	HNE05_18475()	Inner_Membrane	p
HNE05_14925-MONOMER	Outer_Membrane	HNE05_14925()	Outer_Membrane	pla
HNE05_09750-MONOMER	Outer_Membrane	HNE05_09750()	Outer_Membrane	pla
HNE05_03380-MONOMER	Inner_Membrane	HNE05_03380()	Inner_Membrane	r
HNE05_07320-MONOMER	Inner_Membrane	HNE05_07320()	Inner_Membrane	r
CPLX_Kabcpp-0	Inner_Membrane	HNE05_07320()	Inner_Membrane	r
HNE05_07325-MONOMER	Inner_Membrane	HNE05_07325()	Inner_Membrane	r
CPLX_Kabcpp-0	Inner_Membrane	HNE05_07325()	Inner_Membrane	r
HNE05_06520-MONOMER	Inner_Membrane	HNE05_06520()	Inner_Membrane	r
HNE05_12995-MONOMER	Inner_Membrane	HNE05_12995()	Inner_Membrane	r
HNE05_18570-MONOMER	Inner_Membrane	HNE05_18570()	Inner_Membrane	r
CPLX_PIuabcpp-0	Inner_Membrane	HNE05_18570()	Inner_Membrane	r
HNE05_15730-MONOMER	Inner_Membrane	HNE05_15730()	Inner_Membrane	s
CPLX_MPTG-1	Inner_Membrane	HNE05_15730()	Inner_Membrane	s
HNE05_13095-MONOMER	Outer_Membrane	HNE05_13095()	Outer_Membrane	sb
HNE05_17030-MONOMER	Inner_Membrane	HNE05_17030()	Inner_Membrane	r
CPLX_BUTSO3abcpp-0	Inner_Membrane	HNE05_17030()	Inner_Membrane	r
CPLX_rxn05620-1	Inner_Membrane	HNE05_17030()	Inner_Membrane	r
HNE05_17040-MONOMER	Inner_Membrane	HNE05_17040()	Periplasm	s
CPLX_BUTSO3abcpp-0	Inner_Membrane	HNE05_17040()	Periplasm	s
HNE05_14935-MONOMER	Inner_Membrane	HNE05_14935()	Inner_Membrane	r
HNE05_19980-MONOMER	Inner_Membrane	HNE05_19980()	Periplasm	s
CPLX_GALURt2rpp-0	Inner_Membrane	HNE05_19980()	Periplasm	s
HNE05_19970-MONOMER	Inner_Membrane	HNE05_19970()	Inner_Membrane	r
CPLX_GALURt2rpp-0	Inner_Membrane	HNE05_19970()	Inner_Membrane	r
HNE05_13370-MONOMER	Periplasm	HNE05_13370()	Periplasm	s
HNE05_17280-MONOMER	Inner_Membrane	HNE05_17280()	Inner_Membrane	r
CPLX_THD2pp-0	Inner_Membrane	HNE05_17280()	Inner_Membrane	r
HNE05_17270-MONOMER	Inner_Membrane	HNE05_17270()	Inner_Membrane	r
CPLX_THD2pp-0	Inner_Membrane	HNE05_17270()	Inner_Membrane	r
HNE05_19060-MONOMER	Inner_Membrane	HNE05_19060()	Inner_Membrane	p
CPLX_PTRCabcpp-1	Inner_Membrane	HNE05_19060()	Inner_Membrane	p
CPLX_PTRCabcpp-2	Inner_Membrane	HNE05_19060()	Inner_Membrane	p
CPLX_PTRCabcpp-3	Inner_Membrane	HNE05_19060()	Inner_Membrane	p
CPLX_PTRCabcpp-4	Inner_Membrane	HNE05_19060()	Inner_Membrane	p
HNE05_19055-MONOMER	Inner_Membrane	HNE05_19055()	Inner_Membrane	r
CPLX_PTRCabcpp-1	Inner_Membrane	HNE05_19055()	Inner_Membrane	r
CPLX_PTRCabcpp-2	Inner_Membrane	HNE05_19055()	Inner_Membrane	r
CPLX_PTRCabcpp-3	Inner_Membrane	HNE05_19055()	Inner_Membrane	r
CPLX_PTRCabcpp-4	Inner_Membrane	HNE05_19055()	Inner_Membrane	r
HNE05_19040-MONOMER	Inner_Membrane	HNE05_19040()	Periplasm	s
CPLX_PTRCabcpp-2	Inner_Membrane	HNE05_19040()	Periplasm	s
HNE05_16445-MONOMER	Inner_Membrane	HNE05_16445()	Inner_Membrane	r
HNE05_08470-MONOMER	Inner_Membrane	HNE05_08470()	Periplasm	t
HNE05_00720-MONOMER	Inner_Membrane	HNE05_00720()	Periplasm	s
CPLX_CBIuabcpp-0	Inner_Membrane	HNE05_00720()	Periplasm	s
HNE05_14075-MONOMER	Inner_Membrane	HNE05_14075()	Inner_Membrane	r
CPLX_CBIuabcpp-0	Inner_Membrane	HNE05_14075()	Inner_Membrane	r
HNE05_02250-MONOMER	Inner_Membrane	HNE05_02250()	Inner_Membrane	r
